Time Step,Train MAE,Train MSE,Train RMSE,Train R2,Validation MAE,Validation MSE,Validation RMSE,Validation R2,Test MAE,Test MSE,Test RMSE,Test R2
0,0.008921864773938665,0.000247571377597441,0.01573440108798047,0.9950357362299557,0.008175427417248492,0.0002173758649445413,0.014743672030554033,0.9949475984140864,0.009602497194126708,0.0002808264378310103,0.016757876889123224,0.9953657564796721
1,0.010893160707292543,0.00035349172729161137,0.01880137567550873,0.9929118357087346,0.010215234157717898,0.00031576932270519056,0.01776989934426165,0.9926606755601379,0.01157900687931743,0.0003905358594696165,0.01976198015052177,0.9935553137725166
2,0.012660679323856526,0.00048338182694933774,0.021985946123588535,0.9903072979371075,0.011835408656774456,0.0004312622553543426,0.020766854729456326,0.9899763114382291,0.013379035219521903,0.0005372317574011668,0.0231782604481261,0.9911345142220944
3,0.015144523417299103,0.00071033104267829,0.026652036370196742,0.9857565451960214,0.014296275841951357,0.0006467342966277829,0.025430971208897684,0.984968164750967,0.01599101322298265,0.0007831921282362336,0.027985570000202492,0.98707563620618
4,0.01699259617182742,0.0009165767543934246,0.030275018652239086,0.9816209361675147,0.01609667259069576,0.0008375461214206983,0.02894038910278675,0.9805331874676992,0.018052118502730433,0.0010342108796478472,0.032159149237003255,0.9829332839718434
5,0.019826917424480676,0.0012388705338648898,0.035197592728266086,0.9751583481547529,0.018976270646119016,0.0011496680449832315,0.03390675515267174,0.9732786389505305,0.020663460538253756,0.0013565781805051009,0.03683175505599891,0.9776135263781431
6,0.02103813712143488,0.0014483876070389191,0.03805768788351335,0.9709571422618439,0.02001233467035675,0.0013396657258757108,0.0366014443140665,0.9688625845495717,0.022056709816989376,0.0015869199648743326,0.039836164033128646,0.9738123888146056
7,0.023581832052840628,0.0018104261689463632,0.04254910303339382,0.9636975976495419,0.022575018861387627,0.0016741330897822883,0.04091617149468274,0.9610886682184951,0.02454135848238963,0.0019578268319504675,0.044247337004055594,0.9676916234099359
8,0.024423462594622813,0.0019646603841651233,0.04432448966615547,0.9606049155876508,0.023350281935575975,0.0018143787615523988,0.042595525135304985,0.9578289836101009,0.025472147077785195,0.0021157034710467437,0.045996776746275864,0.9650863174515869
9,0.026427719255783445,0.002312101431850311,0.04808431586131086,0.9536380782084315,0.025268142729487516,0.0021363297954071878,0.04622044780621654,0.9503459802741169,0.02745207052324461,0.0024760709590173464,0.049760134234318,0.9591394745939014
10,0.027661033203371016,0.0025693979322662986,0.0506892289571098,0.9484788061863627,0.02634585017154484,0.0023628157162923816,0.04860880286833221,0.9450818415594646,0.02869233165917485,0.0027431179116220047,0.05237478316539367,0.954732622378384
11,0.02871779187894562,0.0027808390594260624,0.05273366154010228,0.9442390194426397,0.02738504318668546,0.0025701591840751794,0.05069673741055907,0.9402626246663361,0.029876940892404752,0.002967817970317509,0.054477683231920836,0.9510245854888745
12,0.030476036593518267,0.0031464599785222757,0.056093314918288395,0.9369076419247707,0.028911317809571582,0.0028895585734954534,0.053754614439092144,0.9328389283733738,0.03142522040434212,0.003294716005965882,0.05739961677542701,0.9456300609732625
13,0.031636148918837294,0.003401187296136225,0.05831969904017188,0.9317998867827556,0.029968192006169413,0.0031128777063068594,0.05579316899322765,0.9276483942856014,0.03286960006809732,0.0036193392650971236,0.06016094468255235,0.9402730751894598
14,0.03254321999648465,0.003583894866969999,0.05986564011993858,0.9281362611333636,0.031008533552884916,0.00329931195283166,0.0574396374712764,0.9233151636325326,0.033724889073887945,0.0037907514493658446,0.0615690786788778,0.9374444034647179
15,0.03366353102128786,0.0038278183075584923,0.061869364854978855,0.9232451437628579,0.031957370334149485,0.0035025152920909277,0.05918205211118425,0.9185921744022945,0.034893953351722046,0.004029579796229055,0.06347897129151554,0.9335032192675681
16,0.03457247871052066,0.004014932389277273,0.0633634941372181,0.9194931593977926,0.032932015376400316,0.0036809102406586774,0.060670505524996886,0.9144457985411215,0.03595965869484265,0.004252408954815865,0.06521049727471694,0.9298260562757331
17,0.0360092620078377,0.004313505554524182,0.06567728339787039,0.9135062136930964,0.03425539378493564,0.003923625186900626,0.06263884726669726,0.9088044538599894,0.037268516411074516,0.00449587982010546,0.06705132228454155,0.925808260484954
18,0.036176229151084385,0.004401866594948554,0.06634656430402824,0.9117344109559224,0.03436577865713744,0.004019777599160768,0.0634017160584851,0.9065696145644272,0.037592254726840045,0.0046668332004730605,0.06831422399817669,0.9229871600167586
19,0.037121754645045454,0.004565065759311681,0.06756527036363935,0.9084619650370608,0.035378053683851884,0.0041568352504773925,0.06447352363937768,0.9033840280802198,0.038515435396196375,0.0047965360452831484,0.06925702885110759,0.9208467825908592
20,0.037644720332019065,0.004716509809563244,0.06867685060894424,0.905425230957474,0.0358894854706234,0.004293701075962394,0.06552633879565067,0.900202900141527,0.03899977992946799,0.004954730957684294,0.0703898498200152,0.9182362244347037
21,0.03787811849980046,0.004790871386347406,0.06921612085596393,0.9039341434300526,0.036128285047977805,0.0043602543560077225,0.06603222210411916,0.8986560238646069,0.039459081088685406,0.0050864637064920145,0.07131944830473673,0.9160623492031112
22,0.038309937491921804,0.004858821965795968,0.06970525063290403,0.9025716082892111,0.036543460230065127,0.004406387156553897,0.06638062335165208,0.8975837741617498,0.040073992518698684,0.0051912075618488745,0.07205003512732575,0.9143338490777998
23,0.038799972655108386,0.004983960674200367,0.0705971718569545,0.9000623451002256,0.03692219764568124,0.004515300700511264,0.06719598723518588,0.8950523320259423,0.04064684648088706,0.005347222998023534,0.07312470853291338,0.911759256992568
24,0.03928851515910873,0.005114823514412759,0.07151799433997544,0.8974383024523673,0.03746113640439707,0.004629522333687578,0.06804059327848029,0.8923975156960609,0.041031651787391085,0.005449072826693878,0.07381783542406184,0.9100785145660089
25,0.03944223024368324,0.005147185773980072,0.0717438901508698,0.8967893791281611,0.03756481795260491,0.0046378461052436395,0.06810173349661255,0.8922040489766775,0.04128358918462988,0.005494635415276573,0.07412580802444296,0.9093266333238454
