Time Step,Train MAE,Train MSE,Train RMSE,Train R2,Validation MAE,Validation MSE,Validation RMSE,Validation R2,Test MAE,Test MSE,Test RMSE,Test R2
0,0.023996044899698407,0.0018704460044652919,0.04324865320984333,0.9624940999888539,0.023186558099321287,0.0017910862525180244,0.042321226973210786,0.9583703231035388,0.025307758450762784,0.0020315532585558644,0.04507275516934664,0.9664749779352011
1,0.023938037658910043,0.0018533522742162447,0.043050578093868204,0.9628368519119608,0.022642875335853137,0.00171225030896958,0.041379346405780504,0.9602027187691233,0.024461462178163057,0.0019039207910449619,0.043633940814977526,0.9685811896584071
2,0.028209414756964382,0.002519750185762828,0.05019711332101506,0.9494743358937303,0.02622446446933866,0.0022825010401765666,0.04777552762844767,0.9469485694966521,0.02826382231502672,0.0026051270654236917,0.05104044538817908,0.9570097697502561
3,0.029798968119868617,0.002768248213412758,0.05261414461352344,0.9444914892565144,0.027739213497881252,0.0024826237622482023,0.04982593463496899,0.9422971820513684,0.029372001185217274,0.002768225859872156,0.05261393218409128,0.9543182869355187
4,0.03493645415595537,0.0038664276721939164,0.062180605273621424,0.9224709543959938,0.03178039566451101,0.0033426993189660426,0.057816081836856104,0.9223067251702117,0.034785900354730864,0.0039083134988661065,0.06251650581139437,0.9355043754162872
5,0.035718046997806965,0.003932399505726867,0.06270884710889578,0.9211480967805936,0.03165350708079302,0.003321373015393236,0.05763135444697822,0.9228024055190797,0.0343515621273119,0.003877859492054677,0.06227246174718547,0.9360069323864354
6,0.038435155982261916,0.004562597244776626,0.06754700026482764,0.9085114633316593,0.034554241781760295,0.003977668665542743,0.06306876140802785,0.9075483388349029,0.03770327907178094,0.004641367404299171,0.06812758181749276,0.9234074007242231
7,0.04092156208444684,0.00505902203433371,0.07112680250323158,0.8985572256188169,0.03829554003145444,0.004545104148043312,0.06741738757949103,0.894359620172727,0.041867659378415904,0.005321551239639547,0.07294896325267101,0.912182896521899
8,0.04184229716008413,0.005428011845325503,0.07367504221461636,0.8911582955704078,0.037778116836818525,0.004685275941238129,0.06844907553238487,0.8911016527000685,0.041770565244494455,0.005565873382355602,0.07460478122986222,0.9081510528126687
9,0.045661293307769094,0.006658890499114424,0.08160202509199403,0.8664768957426308,0.04357943137154631,0.006159652739954389,0.07848345519887863,0.8568331915269713,0.046687533014897344,0.007064464824730687,0.08405037075903167,0.8834210532617551
10,0.043284645311515844,0.006015399485887926,0.07755900647821583,0.8793800839928578,0.04139587517283318,0.005516980742819523,0.0742763807870276,0.8717706080679999,0.04566004984305113,0.006442455807258002,0.08026491018656909,0.8936855471643659
11,0.04688447062757117,0.007025992930335369,0.0838211961876909,0.8591158111590104,0.04402983978618422,0.006206862880546635,0.07878364602217033,0.8557359015592573,0.047354603507015425,0.00713155157949838,0.08444851437117398,0.8823139767308443
