Time Step,Train MAE,Train MSE,Train RMSE,Train R2,Validation MAE,Validation MSE,Validation RMSE,Validation R2,Test MAE,Test MSE,Test RMSE,Test R2
0,0.018075088405846578,0.0010772623358917233,0.03282167478803791,0.978398898787095,0.01608054429723564,0.0009310958683166983,0.03051386354293239,0.9783588199043116,0.019715753916639017,0.0012617361426350223,0.035520925419181046,0.9791786251019271
1,0.021957685081715785,0.00155884619776487,0.039482226352687735,0.968742244580291,0.019778494169061973,0.0013549120038727645,0.03680912935499513,0.9685082176485839,0.024509675319744077,0.001931627147329451,0.04395028040103329,0.9681239748638352
2,0.02308959433825237,0.001734210667048435,0.04164385509350011,0.9652258600285518,0.020745856852078453,0.0015047275264379594,0.03879081755310088,0.9650261067179523,0.025275128219152763,0.002049539932118314,0.045271844805776514,0.9661781589246662
3,0.024534944450247793,0.001987454638474371,0.04458087749780584,0.9601478485139382,0.022171550263470237,0.0017376604231506081,0.04168525426515482,0.9596121230376037,0.02684207433107341,0.0023542381593914924,0.04852049215941129,0.9611499792550375
4,0.028810186107387937,0.002714339054841066,0.05209931913989919,0.9455724678671932,0.02605461074236317,0.0023579845359231583,0.04855908293947857,0.9451941311160061,0.03210500303382338,0.0033417847083650146,0.057808171640045966,0.9448533255961087
5,0.030305716600723356,0.003035387144208584,0.055094347661158345,0.9391348582513046,0.02763866724388662,0.0026473285620431213,0.05145219686313813,0.9384690018726588,0.03391156424463364,0.0037829985004111414,0.06150608506815518,0.9375723438884696
6,0.03185386317399829,0.003334864808692634,0.05774828836158379,0.9331297756593959,0.02903507550324503,0.0029201998116862703,0.05403887315337238,0.9321267440239239,0.03517611880107226,0.004037484290724453,0.06354120152093799,0.9333727780146729
7,0.03319517621679565,0.0036469754167391664,0.06039019305101753,0.9268713791196765,0.030357415346428628,0.003201915550579765,0.056585471196940344,0.9255789165835249,0.03680864123997223,0.004445578390705335,0.06667517072123126,0.9266383428484992
8,0.0357561576044379,0.004251949062167707,0.06520697096298605,0.9147405355291027,0.03267164946851663,0.0037415707651007033,0.06116838043548892,0.913035885669194,0.039662292660519835,0.0052073334288605935,0.07216185577478308,0.9140677373994054
9,0.0363049535669223,0.004429589349909512,0.06655516020497218,0.9111785183036185,0.03311376575930423,0.0038626024581564847,0.06214983876211172,0.910222785328896,0.04038738700933889,0.005439976927180889,0.07375619924576435,0.9102286165781456
10,0.03848410458093118,0.005036273283614174,0.07096670545836388,0.8990133802611637,0.0352309129232014,0.004405358522749166,0.06637287490194443,0.8976076823632554,0.042568873246737436,0.006121946601174627,0.07824286933117054,0.898974642176108
11,0.039523527128250246,0.0053402087785005764,0.07307673212795285,0.8929189099020807,0.03630558534952262,0.004649661786401434,0.06818842853740974,0.8919294209363134,0.04412270782841022,0.0066060586688444,0.08127766402182336,0.8909857461517914
12,0.03917036240801247,0.005238044966917723,0.07237433914667354,0.8949674837999577,0.03586501615382445,0.004571140324995466,0.06761020873355936,0.8937544697662925,0.043763267017942684,0.0064866733061554605,0.08053988642998859,0.8929558628108081
13,0.03988317432778664,0.005513258513545439,0.0742513199448026,0.8894489417719277,0.03668279142896769,0.004818247168788152,0.0694135949853352,0.888011045636525,0.044670695288332375,0.006851802229325124,0.08277561373572004,0.8869304459755828
14,0.041682950491922215,0.005905006081406121,0.076844037383561,0.8815936764911743,0.038208818759102994,0.005114543437537888,0.07151603622641489,0.8811243276752653,0.04667482245901763,0.007361307588355055,0.08579806284733388,0.8785225057300222
15,0.04156826830366891,0.005905562863048494,0.07684766010132316,0.8815825119866231,0.03811090477575183,0.005105420858170591,0.07145222780411113,0.8813363608252165,0.04681173215621665,0.007431428308488474,0.08620573245723555,0.8773653622095301
16,0.04307843878133242,0.006420696099784222,0.08012924621999275,0.87125313521068,0.03963567588047365,0.0055744709236326,0.07466237957386973,0.8704343824635665,0.04824666652605341,0.007981761799425342,0.0893407062845674,0.8682836694953694
17,0.04297095781418687,0.0063502627793436735,0.07968853605973493,0.8726654539129663,0.039310577264973695,0.005480403110544347,0.07402974476887211,0.8726207700974873,0.0483938598406129,0.007973658761748768,0.08929534568917222,0.86841738714011
18,0.04349606569150101,0.006466494886288307,0.08041451912613982,0.8703347846016619,0.03981186333176025,0.005577887069476872,0.07468525336019737,0.8703549820949985,0.04860116940494459,0.008001765225000899,0.08945258646344945,0.8679535697153278
19,0.044753936163777694,0.0067619851277211165,0.08223129044178448,0.8644096572371084,0.04100043980493819,0.005835386595477004,0.07638970215596474,0.864370004227394,0.050464353607207066,0.00854181748939052,0.09242195350343185,0.8590415394726765
20,0.044344323341923064,0.0066736775067505845,0.08169257926366742,0.8661803888151599,0.04045534862655437,0.005731032622650295,0.07570358394851788,0.8667954697319952,0.04993481086549827,0.008374030176312244,0.09150972722236825,0.8618103929838766
21,0.044981259559019486,0.006976618206392034,0.08352615282887171,0.8601058659457111,0.041022602017701686,0.005983888535789442,0.0773555979602604,0.860918421850245,0.050461707732891437,0.0086982125353347,0.09326420822231163,0.8564606830053294
22,0.04528814344954694,0.007004500232891298,0.08369289236781877,0.8595467796036752,0.04136246460486935,0.0060255683576279345,0.07762453450828503,0.8599496712855199,0.05098615393001281,0.008778267144102523,0.09369240707817535,0.8551396088400192
23,0.04529984599784387,0.007006938992039226,0.08370746079077555,0.8594978779597735,0.04117453351994889,0.006001635569734751,0.07747022376200259,0.8605059333030691,0.05107657392337758,0.008782801198854584,0.0937166004443961,0.8550647871315723
24,0.045385344792510725,0.006998432180734773,0.08365663261651626,0.8596684553033795,0.04114357736155607,0.0059637928437148765,0.07722559707580691,0.8613854994956633,0.05141579340211196,0.00885491249813144,0.09410054462186412,0.8538747947505227
25,0.04630245236189076,0.007177333896293514,0.08471914716457853,0.8560811441106894,0.04202505136498712,0.0061302162362931595,0.07829569743155214,0.8575173746229512,0.05241194343381616,0.009095661459157486,0.09537117729774278,0.8499019162662969
26,0.04667714679232705,0.007310299936335088,0.08550029202485268,0.8534149284056073,0.04220201162152938,0.006219077165509812,0.07886112581944169,0.8554520089000793,0.052847940617457984,0.00926857665335438,0.09627344729131901,0.8470484416274333
27,0.04665836910414009,0.007169434629417819,0.0846725140138039,0.8562395390617312,0.042335012879029785,0.006105878323948027,0.07814011981017195,0.858083052816585,0.05319153040822231,0.009203744650588054,0.09593614882091137,0.8481183098743486
28,0.04693583306548895,0.0072400458380394925,0.08508845890036729,0.8548236533714972,0.042362326405501693,0.006126947484753819,0.07827482024734275,0.8575933491535516,0.05342784383326769,0.00927768923362305,0.0963207622147118,0.8468980643467551
29,0.04679865022821711,0.007189201077118404,0.08478915660105603,0.8558431851259706,0.04218436022763384,0.006069059845451564,0.0779041709117783,0.8589388127565862,0.05304484785547959,0.009142751995425347,0.09561773891608893,0.8491248205830926
30,0.04702701055365344,0.007268948618240698,0.08525812933814991,0.8542440990246212,0.04244093656291773,0.006146017707023983,0.07839654142259073,0.8571501061698065,0.05347647490252568,0.009300558447036502,0.09643940297946946,0.8465206728700307
31,0.04754938206359793,0.0073569611925110735,0.08577272988841543,0.8524792842959584,0.042804418430303526,0.006212522045381721,0.07881955369945785,0.8556043674286387,0.05398700313315727,0.009387997009152858,0.09689167667634231,0.8450777475064354
32,0.04770092710885853,0.007454250004867482,0.08633799861513748,0.8505284685733792,0.04287701940288524,0.006272683298622284,0.07920027334941644,0.8542060589551236,0.05411615570674665,0.009497034030019036,0.09745272715537023,0.8432784008661129
33,0.04739821935752847,0.007336806230460475,0.08565515880821467,0.8528834475690076,0.04278447629928087,0.006189445417346632,0.07867302852532519,0.8561407300006183,0.05380682266578022,0.009359269456379177,0.09674331737323864,0.845551814251449
34,0.047020128048439046,0.0071952832553424315,0.0848250155045222,0.8557212713619724,0.042438962308415026,0.006054837747105924,0.07781283793247695,0.8592693723702358,0.0533271274903363,0.00916109467507251,0.09571360757526857,0.8488221267022854
35,0.047979845127254055,0.0073195109463969205,0.08555414043982279,0.8532303226693352,0.04334527296676422,0.006136209061765862,0.07833395854778348,0.8573780853264789,0.0545573229025719,0.009378583609895666,0.0968430875689931,0.8452330889509547
36,0.04804032681281597,0.007366332567902718,0.08582734161036748,0.852291535797933,0.04328245365661419,0.0061897867900721016,0.07867519806185493,0.8561327955852107,0.05478283456894601,0.009478244557603446,0.09735627641607626,0.8435884677938027
37,0.04791016607518278,0.0073327007532600075,0.08563119030621966,0.8529660113582307,0.04330069026944985,0.006168525393165571,0.07853996048614724,0.8566269673295108,0.05441520670140309,0.009354327404963097,0.09671777191893483,0.8456333687871579
38,0.04885187746689829,0.007487899207557812,0.08653264821763987,0.8498541286076412,0.04417824375246891,0.006306854061351759,0.07941570412299924,0.8534118390129285,0.05541736535728403,0.009544819553323754,0.09769759236196025,0.842489836393869
39,0.04875071820358443,0.007428277751937284,0.08618745704531074,0.8510498009088067,0.044300673751235135,0.006233386469362324,0.07895179839219829,0.855119422397151,0.05536838891805698,0.009490217673341291,0.09741774824610396,0.8433908854918841
40,0.048439713168457396,0.007382029630826902,0.08591873853139897,0.8519773374722395,0.0438410644042138,0.006173327360743874,0.07857052475797699,0.8565153567563827,0.054976115130189504,0.00941002744781524,0.09700529597818482,0.8447141945931235
41,0.04918239270253045,0.007525035483438174,0.08674696238738377,0.8491100227237112,0.0445959760609135,0.006331968159070635,0.07957366498453264,0.8528281201946957,0.05568871984686714,0.009551930525925175,0.09773397835924401,0.8423724666063312
42,0.04833908935872353,0.007306985274513026,0.08548090590601522,0.8534825310892054,0.043722863047287,0.006120564117806934,0.0782340342677465,0.8577417156786918,0.05476490588126161,0.00927434897581694,0.09630342141282905,0.8469530325622009
43,0.048489080655831886,0.007288471431726434,0.08537254495285024,0.8538540098877593,0.04409353040134298,0.006099284741457949,0.07809791765122774,0.8582363053133346,0.05490682156178277,0.009241269516087206,0.09613152196905657,0.847498584623101
44,0.04889779053552185,0.007424367399005596,0.08616476889660644,0.8511293398947933,0.04451673787199734,0.006209648688547534,0.0788013241547852,0.8556711519284996,0.055289940698120134,0.00937628648333004,0.09683122679864198,0.8452699043025786
45,0.04805835766331995,0.007232240503478372,0.08504258053162764,0.8549820780198542,0.043557044279505804,0.006038794395441422,0.07770968019134696,0.8596422606978936,0.05438238014078174,0.009152053564551423,0.09566636590020247,0.848969397870852
46,0.04797290563090155,0.007229304866561694,0.0850253189735957,0.8550412306422771,0.04353149981397832,0.00603567940222639,0.07768963510164267,0.8597146278148174,0.0542669296071127,0.009136289120429778,0.09558393756499979,0.8492284458736231
47,0.04849634076744276,0.0072934379860294715,0.08540162753735711,0.8537555633047846,0.043929614161194015,0.006065810816653314,0.0778833153933069,0.8590141166432037,0.05482701539529374,0.009204322395889006,0.09593915986649564,0.8481044033321394
48,0.0482352092385767,0.007275514721843471,0.08529662784567436,0.8541152609898395,0.04392323276320682,0.006058893524007239,0.07783889467359643,0.859174473824962,0.05439669742272744,0.009132070936459503,0.09556186967854649,0.849295301512199
49,0.048398703326971985,0.0072896728344083285,0.08537958089852823,0.8538316771884971,0.04388649206086819,0.006074574105751996,0.0779395541798386,0.8588093010629536,0.0546382480398102,0.009162324895781952,0.09572003393115755,0.8487945675445061
50,0.04842944115909247,0.007316962145291811,0.0855392433055835,0.8532847877418845,0.043859433331106076,0.006087901744392274,0.07802500717329204,0.858498566766694,0.05462222625147447,0.009196692955526773,0.09589938975575796,0.8482259715576486
51,0.04823118651977285,0.007250550195422743,0.08515016262710684,0.8546167298490698,0.04378818454050223,0.006024127352574785,0.07761525206152967,0.859979741824306,0.054376761787086746,0.009105027465425625,0.09542026758202696,0.8497374542613868
52,0.047766902285444696,0.007145253719923787,0.0845296026249017,0.8567283376799468,0.04338553672713638,0.005936936772076469,0.07705152024507024,0.8620051023289936,0.05396344998489999,0.009004879802557715,0.09489404513749909,0.8513891192234828
53,0.04895305285184559,0.007387422715259232,0.08595011759886796,0.8518727959130832,0.04481727597942193,0.006168641171385685,0.07854069754837734,0.8566182000486949,0.05484089546191684,0.009164122501106636,0.09572942338229472,0.8487601387096733
54,0.04758490070112172,0.007143586765648595,0.08451974186927333,0.8567622501353763,0.043203625223572864,0.0059149311427200545,0.07690858952496823,0.8625142076325589,0.05357053796560975,0.008926688027176673,0.09448115170327187,0.8526779018748194
55,0.04750494763596677,0.007124235302761183,0.08440518528361385,0.8571504820194984,0.04324620770810804,0.005906478383870564,0.0768536165959063,0.8627097445874027,0.05313982527194413,0.008826722981080736,0.09395064119568709,0.8543271102761903
56,0.04792982834993052,0.007197105067961455,0.08483575347671202,0.8556895452415448,0.043380837455439226,0.005944431768875134,0.07710014117286125,0.8618269161254591,0.053858336682696815,0.008979190090168765,0.09475858847708088,0.8518104196005918
57,0.04686220314528604,0.006954275798470381,0.0833923005946615,0.8605587131917594,0.042167147121900776,0.005736688642537813,0.07574093109104095,0.8666553873440422,0.052722701461569925,0.008722728481051932,0.09339554850768816,0.8560426940724533
58,0.04711335577327299,0.007049548204547853,0.08396158767286295,0.8586484855315699,0.042772328790294495,0.0058221038038135985,0.07630271164128834,0.8646700360436785,0.05268089541054251,0.008730269298677745,0.09343591011317728,0.8559180710587364
59,0.04772788862755977,0.007134698674731068,0.08446714553440922,0.8569411300485694,0.04321382808750748,0.005893268552047228,0.076767626979393,0.8630163847801531,0.053387526722084855,0.00885865592747454,0.09412043310288441,0.8537990973596903
60,0.046565215734279256,0.006912761533176502,0.08314301854741925,0.8613911372044938,0.04191910873332049,0.005664130050926005,0.07526041490003894,0.8683433765106671,0.052133613104322823,0.008595799118516174,0.09271353255332349,0.8581371263950348
61,0.04659781830070794,0.00693483487223289,0.08327565593997378,0.8609483715556241,0.04182229435013098,0.005667073535804439,0.07527996769263678,0.8682761618181425,0.05237778261755631,0.008679984182779214,0.09316643270394769,0.856747673259584
62,0.045604180955160924,0.006737734076845551,0.08208370165170155,0.864900238863068,0.04113623608839802,0.005511205674818562,0.07423749507370626,0.8719003968665019,0.0506731592864512,0.008277926064498516,0.09098310867682262,0.8633830644368188
63,0.04443346140820637,0.006556122728258445,0.08096988778711778,0.8685414804791143,0.03964026661939128,0.005311508719768689,0.0728800982420351,0.876543223535852,0.04947498451189508,0.008087408896084673,0.08993002221774814,0.8665272556065409
64,0.04557401232513379,0.0066912119381500315,0.08179982847261986,0.8658324447029698,0.040826143765652155,0.005444063421784972,0.07378389676470722,0.8734632170717151,0.0506622195873972,0.008226828574699457,0.09070186643448665,0.8642262968786547
65,0.044170628641909744,0.006525469362396043,0.08078037733506846,0.8691554647027133,0.03935169689965819,0.0052589391688865755,0.07251854362083243,0.8777667120429613,0.04913024741297075,0.008012401605847421,0.08951201933733492,0.867765216404939
66,0.0438801800064251,0.006503117875977625,0.08064191141073991,0.869603319906963,0.038960541038485196,0.005219700072553424,0.07224749180804427,0.8786789763446773,0.04867666699418697,0.00795256884186844,0.08917717668702256,0.8687528799485487
67,0.04366461781918034,0.006371040627853002,0.07981879871216431,0.8722513774513865,0.03899320166976781,0.005117035680253039,0.07153345846702114,0.8810649797414267,0.04830907474971613,0.0077570006058256084,0.08807383610258843,0.8719808452774243
68,0.043750759160956346,0.006386246744921591,0.0799139959263807,0.8719462540496983,0.03901983148299206,0.005132131523938608,0.0716388967247445,0.8807135386264471,0.04837287735870964,0.007757700784712933,0.08807781096685438,0.8719698398843007
69,0.042986557121779366,0.006203008261606022,0.07875917890383331,0.875620320317234,0.03798864068440726,0.0049165584751979415,0.07011817507036204,0.8857232081480565,0.04756453603268292,0.0075602739737871604,0.08694983596181859,0.8752288302081711
70,0.043533592074087635,0.006293762610834813,0.07933323774329908,0.8738004989119794,0.038561487422651475,0.004988808234776805,0.07063149605365021,0.8840426701481368,0.04812264969991234,0.007637379723140302,0.087392103322556,0.8739572007377288
71,0.04400096492226741,0.006334398380218605,0.07958893377988302,0.8729857087648207,0.039282996175585616,0.005037401246351175,0.07097465213969827,0.8829117183037484,0.048252918304433734,0.007584417241985881,0.08708855976525207,0.8748322546436477
72,0.04103637064716673,0.005849498440163096,0.07648201383438524,0.8827087857349308,0.03614858501100041,0.00461230127135042,0.06791392545973483,0.8927910849444838,0.045207043183756755,0.007026818326879858,0.08382611959812919,0.8840353843669431
73,0.04157709084518354,0.005951404291025482,0.07714534523239547,0.8806655882739288,0.03648402827317586,0.004665810385365626,0.06830673748149318,0.8915455888248164,0.045776482670359615,0.007167556484240387,0.08466142264479369,0.88171361415426
74,0.042293997923854645,0.006013953101159033,0.07754968150262793,0.8794116047765419,0.037293526320676514,0.00473041858760115,0.06877803855593113,0.8900420432381788,0.04656191139745429,0.007240314618451504,0.08509003830326735,0.8805135743476291
75,0.04203585209194641,0.005909014961721443,0.07687011748216235,0.881516036806313,0.037079212438739885,0.004642747395521445,0.0681377090568904,0.8920782989122619,0.046215160179114825,0.007063842203569207,0.08404666682010184,0.8834263684884899
76,0.04046892255258553,0.005636480371415778,0.07507649679770478,0.8869809911808086,0.03562417371037053,0.004396693825395882,0.06630756989511742,0.8977964727188176,0.04424980158745513,0.006652223754246585,0.0815611657239313,0.8902195308652129
77,0.04090697955128384,0.005761525951162135,0.07590471626428845,0.884473919638722,0.03582177233509612,0.00446275010613259,0.06680381805056197,0.8962596969364893,0.04460439502264699,0.006788291331659743,0.08239108769557386,0.8879741591465963
78,0.040803313267464406,0.005715788619471087,0.0756028347317155,0.8853913120640469,0.03581459977052286,0.0044350786704143745,0.06659638631648397,0.8969018479556806,0.044401147214784865,0.006691250658442136,0.08180006514937586,0.8895756391985825
79,0.04033828150792426,0.005611363928580094,0.07490903769626261,0.8874854124957113,0.035425343557599125,0.004366826919508674,0.06608197121385434,0.8984876394176498,0.04382055547568983,0.0065520993194869885,0.08094503888124947,0.8918720305631601
80,0.04105035585392391,0.0057631790732556795,0.07591560493900895,0.8844415736211161,0.0360129513111848,0.00444806522824203,0.0666938170165873,0.8965985758271914,0.04443256952930245,0.006701024940697601,0.0818597883010798,0.8894143416201664
81,0.0402112940140167,0.00562419456018659,0.0749946302090129,0.8872285986408244,0.035083676155012435,0.004311169383334853,0.06565949575906635,0.8997805255034257,0.04351502657677955,0.006487385618910363,0.08054430842033695,0.8929399881092844
82,0.03963571194232821,0.005476652543036996,0.07400440894323118,0.890187154453957,0.03468558314437242,0.004248543201979919,0.06518084996361984,0.9012362083941241,0.042813544759077886,0.006316895930716044,0.07947890242520994,0.8957535449282475
83,0.039673643995457704,0.005487950444032858,0.0740807022377141,0.8899606997580215,0.03475420622145357,0.004233230817510519,0.06506328317500215,0.9015922100698608,0.04271349564678474,0.0062916554216903885,0.07931995601165187,0.8961700839402862
84,0.03855767453727381,0.005356727354233112,0.0731896669908609,0.8925918852366377,0.033546249614019474,0.004128335584241486,0.06425212513404896,0.9040308934307176,0.04158535921884757,0.0061321288601635165,0.0783079105848414,0.8988027184986771
85,0.03851263333987838,0.005243549890959911,0.07241236007036306,0.8948611718259877,0.033727997264744944,0.004073945067757624,0.06382746327214973,0.905295702158786,0.04132570359503998,0.005976275270222075,0.07730637276591158,0.9013747387503642
86,0.038145112532592396,0.0052372367711884405,0.0723687554901177,0.8949876464495824,0.03345605197920194,0.004043283202179652,0.06358681626076,0.9060090575259325,0.04047914345450687,0.005871024646407631,0.07662261184798931,0.9031116684935621
87,0.037672454140427296,0.005168861215526321,0.0718947926871364,0.8963584853549803,0.033007100320267484,0.0040078306572322465,0.06330742971588917,0.9068339015673469,0.040095492583881384,0.005816006785772321,0.07626274834919287,0.9040196171125942
88,0.03755358211839031,0.005123060688858997,0.07157555929826184,0.8972766291321627,0.03288492374723583,0.004013772548834356,0.06335434119959228,0.9066965658033402,0.039978872737198565,0.005775710349852295,0.07599809438303236,0.9046846210390104
89,0.03704064257658949,0.005057810477997714,0.07111828511710412,0.898584733317342,0.032761698237354135,0.003976091610853724,0.06305625750751248,0.9075733192525283,0.03897199874753272,0.005595164931163992,0.0748008350967019,0.9076641255431422
90,0.0369021438802538,0.005095137777183199,0.071380233798883,0.8978360146814757,0.03265195086826439,0.00397201550062407,0.0630239280005941,0.9076689039647031,0.03854704221256341,0.005582872763021384,0.07471862393688326,0.907866980706195
91,0.03768082788302575,0.005113387233158944,0.07150795223720886,0.8974698220513938,0.03394438797254686,0.004040171216230422,0.06356234117958857,0.9060854050757152,0.03942161207238644,0.005590255167582528,0.07476800898500995,0.907745150377843
92,0.0375173965583186,0.0051048545320380445,0.0714482647237709,0.8976406568430522,0.03374944177735341,0.004049930454108768,0.06363906390031808,0.9058592859707768,0.03929771324550328,0.005572120142916963,0.07464663517478175,0.9080444290195618
93,0.0366200276633625,0.005021317217705115,0.07086125328912209,0.8993154708214033,0.03258866942157673,0.004037463593146328,0.0635410386533485,0.9061496916085423,0.038386624402524425,0.0055104238602430335,0.07423222925551295,0.9090625902858553
94,0.03871044397996618,0.005198358342489313,0.07209964176394577,0.8957653547821418,0.03504242908895962,0.004221390730167191,0.0649722304539962,0.9018747740083454,0.040841247072785004,0.005740413177129877,0.07576551443189623,0.9052671231366743
95,0.0376171022347669,0.005136002828395371,0.07166591120187736,0.8970155429250919,0.03381050445190128,0.004187708503529461,0.06471250654648962,0.9026579755268824,0.03956916880149772,0.00561396012463864,0.07492636468319172,0.9073539522691783
