Time Step,Train MAE,Train MSE,Train RMSE,Train R2,Validation MAE,Validation MSE,Validation RMSE,Validation R2,Test MAE,Test MSE,Test RMSE,Test R2
0,0.019342282996580286,0.0011194813930566615,0.0334586519910271,0.9775915648887257,0.017857555023008835,0.000991326894464837,0.03148534412174714,0.9769989392407777,0.021084354152536407,0.0013500312532128444,0.03674277144164338,0.9777605667955642
1,0.02745754346589688,0.0023322491043811324,0.048293365014058946,0.9533153714355694,0.025273704737572924,0.0020445727210403166,0.045216951700002034,0.9525619721945278,0.029742178101660764,0.0027804556209736404,0.052730025800995395,0.954196795879071
2,0.03326384443072251,0.003493175975696312,0.05910309615998397,0.9300765440348129,0.030427052715889965,0.0030170026538493358,0.05492724873730101,0.9299983966230967,0.035881004874312,0.00410952387804365,0.06410556822962925,0.9323026918300708
3,0.03717045021909526,0.004409312725802102,0.06640265601466633,0.9117382465248474,0.03376392618002117,0.0037286754411404604,0.06106288104192645,0.9134823585576468,0.03976634536920307,0.005090237686102248,0.07134590167698666,0.9161471256718193
4,0.03925880694427717,0.004966150481608962,0.07047091940374385,0.9005928164057873,0.03560011065414795,0.004139115765886447,0.06433596013029141,0.9039561661269028,0.04167045454885117,0.005644031331676334,0.07512676840964433,0.9070243318398427
5,0.04015214232044428,0.005251030969136928,0.07246399774465198,0.8948913229111591,0.03631102463103867,0.0042970434588130695,0.06555183795144931,0.9002922645611863,0.0425398824555164,0.005912573964868785,0.07689326345570713,0.9026005557685748
6,0.0407758006252715,0.005427364604123244,0.07367064954324241,0.8913619064152489,0.03694054145151695,0.004416527116958659,0.06645695687404486,0.8975231136651862,0.043231094780767365,0.006103946620205024,0.07812775832061883,0.8994480217991743
7,0.04086943333776349,0.005523829691319754,0.07432247097156926,0.8894301741093107,0.036845323742644716,0.00443996258813942,0.06663304426588523,0.8969827635884249,0.043302153271573905,0.006197575454089445,0.07872468135273362,0.8979056484709818
8,0.041120681783244,0.005594187925017782,0.07479430409474896,0.8880206588341775,0.0370217879054182,0.004471996541969373,0.06687298813399453,0.8962404687615431,0.043527211652237115,0.006277187158895901,0.07922870161056472,0.896594183134812
9,0.04091498594931661,0.005612103937917304,0.07491397691964634,0.8876615827762208,0.03689336455979753,0.0044854189857543945,0.06697327068132775,0.8959290473767827,0.04348293262378944,0.00635430558656595,0.07971389832749337,0.8953237902332273
10,0.04150729740192194,0.005684687011885391,0.07539686340880097,0.8862089382706212,0.037310053373381134,0.004507772544289662,0.0671399474552197,0.8954103988093528,0.044340659195960946,0.006455352003030616,0.08034520522738502,0.8936592250432247
11,0.04165071611401821,0.0057443450199700504,0.07579145743400142,0.8850153539920622,0.037345088925275036,0.004538975991270476,0.06737192287051391,0.8946864146146243,0.04472459600181455,0.006569386919523199,0.0810517545739955,0.8917806967482133
12,0.041765265290474425,0.005792716582942154,0.07610989806156722,0.8840479679750968,0.03720236101027719,0.004526140320916371,0.06727659564006172,0.8949842285859727,0.04478437218178431,0.006613285481544391,0.08132210942630787,0.8910575437578526
13,0.041427860421403166,0.005737784070763719,0.07574816216096414,0.8851485076275432,0.03685626647571421,0.004486064345764999,0.06697808854965182,0.8959140736962187,0.04462044222371921,0.006599978825749482,0.08124025372775175,0.8912767479296235
14,0.041414835569501485,0.005701940290590838,0.07551119314771047,0.8858668238662947,0.036949610379824145,0.00448666723195869,0.06698258902101867,0.8959000847174052,0.04464358325408063,0.006573793426533693,0.08107893330905194,0.8917081071558675
15,0.041132377691074536,0.005693476125565437,0.07545512656914331,0.8860368190745946,0.03647230703554518,0.00444649218936539,0.06668202298494992,0.8968318413048569,0.04410719036085019,0.006520400503648236,0.08074899692038431,0.8925878447376147
16,0.04053957421550199,0.005574848308873975,0.07466490680951779,0.8884115714225241,0.036093425827955924,0.004363837877517686,0.06605935117390789,0.8987472121568703,0.04339542222092321,0.006344396063398727,0.07965171726584887,0.8954886682152027
17,0.039651837831454685,0.005449197109795896,0.07381867724225283,0.8909266920626264,0.03511965385720934,0.004231119931631164,0.06504705936190477,0.9018230786669513,0.04228668090394539,0.006146611513473802,0.07840032852911907,0.8987500126983744
18,0.038939892088903444,0.005285134991011088,0.072698933905602,0.8942106250242189,0.03480605832308245,0.004135756769753643,0.0643098497102399,0.9040327965706227,0.041463051755805384,0.005907275194582935,0.0768588003717397,0.9026968121088302
19,0.038769954494102796,0.005273353048776074,0.07261785626673424,0.8944464570904126,0.03452593338212804,0.004101265086462906,0.06404112027801283,0.9048308760125511,0.04113079563005026,0.005834154309111533,0.07638163594157651,0.9039058731515608
20,0.03858169827662571,0.005233454588293271,0.07234261944589283,0.8952450806268313,0.03432458601533133,0.004063651488015933,0.06374677629508753,0.9057007802783227,0.04079487721933755,0.005729936070721353,0.07569634119771809,0.9056268459388165
21,0.038236882233886195,0.005236118242052794,0.07236102709368347,0.8951917638682526,0.03396358179094922,0.00403750574282932,0.06354137032539761,0.9063040951638169,0.040207535638945975,0.00567873659879665,0.07535739246282776,0.9064736801862382
22,0.037663092312357226,0.005182206988811726,0.07198754745656867,0.896270873066832,0.033720759043037944,0.004037313791497279,0.06353985986368933,0.9063064539281378,0.039424638235349835,0.005565586719886983,0.07460285999803884,0.9083391169636417
23,0.0380498492735672,0.005298794886439977,0.07279282166834843,0.8939371979356172,0.03416796308559264,0.004177022434791231,0.06462988809205251,0.9030651954653187,0.039867961483267926,0.005656326237643023,0.07520855162574946,0.9068449431190126
