Time Step,Train MAE,Train MSE,Train RMSE,Train R2,Validation MAE,Validation MSE,Validation RMSE,Validation R2,Test MAE,Test MSE,Test RMSE,Test R2
0,0.008965842556660048,0.00024212002452510416,0.01556020644223926,0.9951450459361799,0.008156948363927342,0.00020759512773951464,0.014408161844576658,0.9951749291353635,0.009709177330256736,0.0002778403442847903,0.016668543556195615,0.9954150334807071
1,0.010770700615874084,0.0003357765983753071,0.018324207987667766,0.9932670568766013,0.009987906819261701,0.0002934660210901254,0.017130849981542812,0.9931790640002521,0.011685558374809987,0.0003921753508310382,0.019803417655319958,0.9935282586196008
2,0.013327146053489045,0.0005230430810207352,0.022870135133416576,0.9895120162411015,0.012363906036563153,0.0004628061285178738,0.021512929333725655,0.989243147437212,0.014367738313064194,0.0006052979844983327,0.024602804403123086,0.9900112742796071
3,0.016087338759159336,0.0007499787229734513,0.027385739408923238,0.9849615356744925,0.015031147611137358,0.0006626877295684481,0.025742721875676784,0.984597364289524,0.017128012128810915,0.0008561044442932846,0.02925926253843874,0.9858724253160329
4,0.01857775344875407,0.0010256566206560134,0.032025874237185364,0.9794336825466154,0.017409350539889002,0.0009139378242505495,0.03023140460267352,0.97875763992473,0.019703323554137175,0.0011567088449618383,0.03401042259310869,0.9809118026384109
5,0.020934315317108956,0.0013173140528664493,0.03629482129541967,0.9735854101153973,0.019624631630277608,0.001177716532002569,0.03431787481768894,0.9726267170746414,0.02224932915283103,0.0014964509950130798,0.038683988871535464,0.9753053224593451
6,0.023411843773722574,0.0016655453068896136,0.04081109293917052,0.9666027276335645,0.021998086912945688,0.0014879983066901116,0.038574581095458596,0.9654149385402412,0.02479222452076799,0.0018946464641377088,0.04352753684896159,0.9687342361084041
7,0.026386136681109076,0.002101045715033627,0.04583716521594269,0.9578701367599838,0.024793691051194222,0.001876284241974091,0.043316096799851336,0.9563901346306001,0.027781084173652947,0.00235929143383195,0.04857253785661143,0.9610665892989031
8,0.028435589212564952,0.0024851391675619326,0.04985117017244362,0.9501683506871643,0.026622366763438175,0.0021965312092569627,0.04686716557737371,0.9489467383606027,0.029854947431167195,0.002786584236894043,0.05278810696448626,0.9540153340140826
9,0.03046430956573271,0.002879992927814464,0.05366556556875614,0.9422508004881297,0.028493633173064803,0.0025483233494853577,0.050480920648155354,0.9407701478791776,0.032059081325480694,0.003247105544217133,0.056983379543662845,0.9464157365512568
10,0.03239319985292936,0.0032945076238732546,0.05739780155958288,0.9339390120625007,0.03011130579233644,0.0028779399405736285,0.05364643455602272,0.9331089764855746,0.034048091372268316,0.0037128288876955347,0.060932986860119824,0.9387302942422995
11,0.034211900478938476,0.0036650196824631535,0.060539406029983096,0.9265095581265499,0.03177790485721436,0.003203043617397189,0.05659543813239004,0.9255526972927932,0.03601301235367794,0.004132365879497028,0.06428348061125057,0.9318070266154677
12,0.035947166656282475,0.00406313117342309,0.06374269505930143,0.9185266843849603,0.03328840462513539,0.003512751237513531,0.0592684674807231,0.918354263646652,0.037399955584851194,0.004493188454148028,0.0670312498328058,0.9258526738434162
13,0.037540973145963503,0.004425989822734725,0.06652811302550768,0.911250695499249,0.03469812243330512,0.003809430901854933,0.06172058734210922,0.9114586345461513,0.03917355305871117,0.004930371577939026,0.07021660471668383,0.9186382068784351
14,0.03910056619335516,0.004831549577010266,0.06950934884611037,0.9031184702644404,0.03610809486604338,0.004142485057642023,0.0643621399398903,0.9037175649524993,0.04089175069150602,0.005397536600741747,0.0734679290625627,0.9109289737429491
15,0.04042144490068081,0.005166243631900982,0.07187658611746235,0.8964072337316519,0.037309316024189534,0.0044143584474495064,0.06644063852379435,0.8973985000358999,0.04220924868723585,0.00574036320794666,0.07576518466912531,0.9052715933506108
16,0.04176686536165135,0.0054522233724885695,0.07383917234428193,0.8906728095474653,0.03865334368722671,0.0046734970032995095,0.06836297977194608,0.8913754267297204,0.04366142479495427,0.006064866454623991,0.07787725248507417,0.8999165880318285
17,0.0424555173993283,0.0057085168807363825,0.07555472771929221,0.8855336493785436,0.03871814802546727,0.004745578611143101,0.06888816016662878,0.8897000573249433,0.04432457581401529,0.0063464554388168925,0.0796646435931078,0.8952697608474985
18,0.04357851381792804,0.005955185447248377,0.07716984804474075,0.8805874871420905,0.040070916003855074,0.004994921295355172,0.07067475712979261,0.8839046662823299,0.045515319297815784,0.006611786260132269,0.08131289110671364,0.8908912285094429
19,0.04403007888467042,0.006162453947892466,0.07850129902041408,0.8764313692986674,0.04018022420879219,0.005118672110265284,0.07154489576668124,0.8810283662757246,0.04614885194294738,0.006889798159756561,0.08300480805204336,0.8863034309560543
20,0.04484079392292062,0.006311426471208276,0.079444486726319,0.8734441939179001,0.04107381302291878,0.0052625639452953355,0.07254353138147698,0.8776839350786613,0.04723406574410241,0.007122271986691288,0.08439355417738542,0.8824671100795763
21,0.045892662216108805,0.0065696448094847105,0.08105334545522912,0.8682664373370652,0.04196414925616812,0.005445961860898177,0.07379676050409108,0.8734212768792545,0.04820681443738462,0.007341861145022115,0.08568466108366254,0.8788434140985688
22,0.046676647249305876,0.006887550880032722,0.0829912699025188,0.8618918310257768,0.04239179045774691,0.005640796826680782,0.07510523834381183,0.8688927910363572,0.04902792659881255,0.007700911487255279,0.08775483740088223,0.8729183069939207
23,0.04595792834059369,0.006730054418467443,0.08203690887928093,0.8650499271771619,0.04157182136889594,0.0054874727233410105,0.07407747784138584,0.8724564533828982,0.04860030019505787,0.007609220323504076,0.08723084502344383,0.8744314094808775
24,0.04650611964331375,0.006895944084048655,0.08304182129534886,0.8617235317190046,0.04188449050595064,0.005587710216767417,0.0747509880654926,0.8701266658722957,0.04945119564452879,0.00787723782702936,0.0887538045777721,0.8700085410763225
25,0.046744573883278885,0.006929578840854622,0.08324409192762344,0.8610490924651573,0.04222564106373297,0.005600062113061631,0.07483356274467781,0.8698395747576356,0.04976832330326252,0.007948940258357658,0.08915682956654335,0.8688252959006141
26,0.04722261438725833,0.00707315615967139,0.08410205799902515,0.8581701009406811,0.0425760613825828,0.005701127785203295,0.07550581292326634,0.8674905381580803,0.050281200504559795,0.008116129477539724,0.09008956364385236,0.8660663122320985
27,0.04729012470312119,0.007122546782210787,0.08439518222156278,0.8571797273576434,0.042553609971912834,0.005725888120275491,0.07566959838849081,0.8669150417301705,0.05018442656736913,0.008100484713197253,0.09000269281081123,0.8663244846760505
28,0.04696591659715551,0.007058224036957452,0.08401323727221474,0.8584695176945957,0.04232529182028354,0.00570767001200941,0.07554912317167824,0.867338479304817,0.0501202291073111,0.008123252224570962,0.09012908645143898,0.8659487715029157
29,0.04711440381964693,0.007029877023075748,0.08384436190392142,0.8590379278960271,0.04232189352008636,0.005623902905495201,0.07499268567997282,0.8692854509606815,0.05047168143313323,0.008163472069228185,0.09035193450739273,0.8652850570893764
30,0.047234054109998404,0.00716211525337092,0.08462928130009684,0.8563863061261752,0.042157960586816506,0.0056930194805875824,0.07545210057107478,0.8676789968493356,0.05042800543650826,0.008281200194110777,0.09100109996099374,0.863342288437994
31,0.04712685814719395,0.007104997984510787,0.08429115009602602,0.8575316138927388,0.042102614809004124,0.005671193901493416,0.07530732966646352,0.8681862816970218,0.05049579973404017,0.008277067726096298,0.0909783915339038,0.8634104830968266
32,0.0472828618150571,0.007191795647064805,0.0848044553491431,0.8557911649901535,0.04204462414246642,0.005694208623025461,0.07545998027448365,0.8676513579977903,0.05055364436013914,0.008337503036736452,0.09130992846748075,0.8624131697779799
33,0.046370217708654266,0.006930616400590025,0.083250323726638,0.861028305907364,0.04116761647141581,0.005487599015537233,0.07407833026963576,0.8724535180143911,0.049843913543491984,0.008097396039514392,0.08998553239001474,0.8663754544711729
34,0.04679200410810328,0.00706824420424341,0.08407285057759972,0.8582686391485483,0.04134299951596252,0.005539061203759554,0.0744248695246391,0.8712573990843355,0.05021891461078521,0.008241182638193999,0.09078095966772988,0.8640026646498601
35,0.04691063007187588,0.007122084017085747,0.08439244052097171,0.857189096270958,0.0416070391809595,0.005630369500044282,0.075035788128361,0.869135150003409,0.050225503882412446,0.008282802059602865,0.0910099008877763,0.8633158541932894
36,0.04637147004301925,0.006936558864919815,0.08328600641716359,0.8609092859520119,0.0409618022203649,0.005444285327364646,0.07378540050284098,0.8734602440037706,0.04995252125115947,0.008133795543700301,0.09018755758806367,0.8657747839370182
37,0.04586630508348872,0.006823396265593921,0.08260385139685632,0.8631784927855417,0.04037545883572606,0.005319164262895666,0.07293260082360745,0.8763683922759254,0.049577913223905326,0.0080356536428419,0.0896418074496599,0.8673943375361683
38,0.04513803821577915,0.006656829934182336,0.08158939841782348,0.8665185650242571,0.039804090735904456,0.005202790309731565,0.07213037023148824,0.8790732342803819,0.048704744598470844,0.007806097599666127,0.0883521227796261,0.8711825086708234
39,0.04514249158360045,0.006620434354392181,0.08136605160871567,0.8672484998424145,0.03980304561458366,0.005155791350388495,0.07180383938473273,0.8801656158308961,0.04900858957018681,0.007843992857414626,0.08856631897857462,0.8705571549682712
40,0.0448344872440332,0.006665866752019291,0.08164475948901614,0.8663376613162355,0.039073209594633694,0.005133768711186861,0.0716503224778986,0.880677480882671,0.04863684595632605,0.007879479397085344,0.0887664317018846,0.8699715477825339
41,0.044417344957180076,0.006510407920812039,0.08068709884989074,0.8694550603259265,0.03898203306136478,0.005029745959979377,0.07092070191403478,0.8830952479107306,0.04821073873453072,0.007698802944068059,0.08774282274960192,0.8729530836867323
42,0.04412531804210449,0.006508700993345608,0.08067652070674347,0.8694894871666854,0.0386045916076883,0.0050120900485536865,0.07079611605556965,0.8835056185267723,0.04778738663857259,0.007675472158302228,0.08760977204799832,0.8733379840952189
43,0.04362108702763878,0.006408722342489242,0.08005449607916623,0.8714944442231733,0.037951711444253564,0.00491635884964015,0.07011675156223475,0.8857306676972958,0.04742249447722356,0.007592141944244246,0.08713289817425016,0.8747128421886139
44,0.043356121149263224,0.00637664775685876,0.0798539151003804,0.8721378253790221,0.03765720849723212,0.004874570902625907,0.06981812732110414,0.8867019313803705,0.04692137154217383,0.0075144932846815055,0.0866861770104179,0.8759937351398575
45,0.043156763031666906,0.006343338941748458,0.0796450810894713,0.8728059677625943,0.037373685703867995,0.004828479829108133,0.06948726379062664,0.8877732095679507,0.04711212266014201,0.007559588834715703,0.08694589601997153,0.8752488449173694
46,0.04256337361964746,0.0062165428341761746,0.07884505586386616,0.8753486793633676,0.03693648712070748,0.00475276649800755,0.06894031112496919,0.8895329634578814,0.04628552769442232,0.007366059153618927,0.08582574877983254,0.8784416548405259
47,0.04223632281308681,0.006130023590963261,0.07829446717976477,0.8770837774029192,0.036851037140998286,0.004685477725678663,0.06845054949142967,0.8910967987511579,0.04565286939680721,0.007195357765597353,0.08482545470315708,0.881257618536669
48,0.04208852620218747,0.006172270070196648,0.07856379617989859,0.8762369340567138,0.0363658122457631,0.004682150652071986,0.06842624242256758,0.8911738048215869,0.045602033087574684,0.0072768707854557945,0.08530457657978142,0.8799112900800596
