Time Step,Train MAE,Train MSE,Train RMSE,Train R2,Validation MAE,Validation MSE,Validation RMSE,Validation R2,Test MAE,Test MSE,Test RMSE,Test R2
0,0.02200625204159829,0.0013330696234866248,0.03651122599265361,0.973269489797072,0.020150797149446367,0.0013413183720309796,0.036624013598061306,0.968824142129149,0.026131750431823635,0.0020485513236408568,0.04526092490925099,0.9661944731024416
1,0.02556566959831978,0.001726237042299292,0.04154800888489474,0.9653857479063679,0.022774517020831987,0.0016885070967872198,0.041091447976278714,0.9607545745857617,0.030016421263964192,0.002728901901959753,0.052238892618046116,0.9549672172803848
2,0.03129470965891459,0.0026848504642392333,0.05181554268980721,0.946163769131484,0.02819666900696728,0.0026636091879445136,0.05161016554850908,0.9380905965714756,0.03776637724866818,0.00434629354467745,0.06592642523812019,0.9282767575146011
3,0.03211943322997068,0.0029293594749712974,0.054123557486285924,0.9412609096611632,0.027968934717657833,0.002509420899156434,0.050094120405057854,0.9416743448997735,0.036282686626148614,0.003861727758263274,0.06214280133903905,0.9362731408793816
4,0.03689272487957167,0.0036447679897251175,0.06037191391470969,0.9269156421252593,0.03133477566439405,0.0030337049866312146,0.05507907939164574,0.929488580100066,0.039944714621695826,0.004699698255214532,0.06855434526865917,0.9224448155417967
5,0.04051291584224837,0.004567546917817095,0.06758362906663933,0.9084122132074067,0.03344270279842024,0.0036404932210728305,0.060336499907376384,0.9153851982031455,0.04313449579218948,0.005626869293083066,0.07501246091872381,0.9071444883800659
6,0.04343541962142091,0.005214329542334038,0.0722103146533377,0.8954430220460989,0.036673776446164784,0.0043729209753238865,0.06612806495977246,0.8983616177449445,0.047635969808229234,0.006818049054065576,0.08257147845391638,0.8874874463596819
7,0.047562236274924216,0.006231864833276474,0.07894216131622236,0.8750395523154992,0.03926114721667026,0.0049806548994808615,0.07057375503316272,0.884236255489054,0.052387666620455776,0.008238175697243399,0.09076439663900927,0.8640522856781505
8,0.048203135099079995,0.006338495118780661,0.07961466648037069,0.8729014173318617,0.040420075085909335,0.005009091233970232,0.07077493365571057,0.8835753190003609,0.05103109970969681,0.007575586954965032,0.08703784783049862,0.8749864327950024
9,0.05111338422081915,0.007154108116302043,0.08458196093909175,0.8565468640746492,0.04372765442203678,0.005833905216555254,0.07638000534534711,0.864404435436639,0.05521496951865667,0.008834637159190886,0.09399275056721601,0.8542093816891081
