Time Step,Train MAE,Train MSE,Train RMSE,Train R2,Validation MAE,Validation MSE,Validation RMSE,Validation R2,Test MAE,Test MSE,Test RMSE,Test R2
0,0.015507646047022011,0.0007468340312997112,0.027328264330171267,0.9850245971089363,0.01386613863355274,0.0006427233710513806,0.02535198948902,0.98506137477575,0.01771525950198412,0.0009627774622326991,0.03102865550153115,0.9841120898362337
1,0.019257577087719316,0.0011539047635879512,0.03396917372542275,0.9768620708511297,0.017134526746157626,0.0009864529957631246,0.03140784926993768,0.9770721914384988,0.022272500319995687,0.0015170208603057173,0.03894895197955546,0.9749658751990278
2,0.02382505292743415,0.0018072695601766893,0.042511993133428704,0.963760893733468,0.021463500381332483,0.0015702535585675858,0.039626425003620826,0.9635031064307691,0.026934755965664837,0.002329463833889213,0.04826451941011339,0.9615588092010932
3,0.026266125798129192,0.0021676901850624865,0.046558459865662295,0.9565337915353516,0.023658575153014512,0.0018708773836512765,0.04325364012024047,0.9565158044828829,0.030451334969295994,0.002853070820478655,0.05341414438590826,0.9529181616055818
4,0.03268448099756707,0.0032548018713857998,0.05705087090821489,0.9347351860391873,0.029792678395409635,0.002878658654877195,0.05365313275920797,0.9330922716423976,0.03756781468767612,0.0042771260812405985,0.06539974068175346,0.9294181702381519
5,0.033382500966583316,0.0034970344471858946,0.05913572902388111,0.9298779736436105,0.030289399292122828,0.003047988643252836,0.05520859211438774,0.929156589707397,0.0381457472119389,0.004578564896246619,0.06766509363214256,0.9244437779195142
6,0.03491362479250594,0.0037952559504036867,0.061605648689090894,0.9238980794147995,0.03166346958367203,0.0033019063262236152,0.057462216509839015,0.923254863454228,0.03998685936929698,0.004961974163108086,0.07044128166855063,0.9181166958815487
7,0.037440824874348355,0.00437136401866836,0.06611629162822398,0.9123460441812052,0.03404688196765646,0.0038137823805161767,0.06175582871694118,0.9113574945406397,0.04292189467807418,0.005740409795308969,0.07576549211421364,0.9052708245583861
8,0.03986119190667613,0.004988314607498505,0.07062800158222307,0.899975040662681,0.03602404745450999,0.004300191671649,0.06557584670935633,0.9000520413336087,0.0458127135237076,0.006531787926198778,0.08081947739374945,0.8922113740182906
9,0.04195946882123371,0.005571096359666707,0.0746397773286249,0.8882891856896346,0.037882980719144234,0.004795258671341564,0.06924780625652746,0.8885453598178539,0.04822903103870211,0.007284044646521585,0.08534661473381112,0.879797511353847
10,0.04615025183172279,0.006537478115199349,0.08085467280992083,0.8689114392146678,0.041698000834046914,0.005630999705181644,0.07503998737461011,0.8691205023500415,0.0533176633762552,0.00858761135557138,0.09266936578811458,0.8582858416499981
11,0.04522625444988966,0.006481771146379388,0.0805094475597702,0.8700284672550898,0.04076062154283111,0.005541060668352643,0.0744383010845401,0.8712109261780643,0.05184355651226152,0.008448874221839623,0.09191775792435118,0.8605753043800426
12,0.04707531385301863,0.006996668523624722,0.0836460909046246,0.8597038198993601,0.04227133908417066,0.005937169024738472,0.07705302735609076,0.8620043082748485,0.054168271896810866,0.009108252748639951,0.09543716649523891,0.8496941327607717
13,0.049728001354493186,0.007701390900195532,0.08775756890545414,0.8455728292528133,0.044750882947853246,0.006559201029617416,0.0809888944832402,0.8475466203716084,0.05728421956623149,0.0100721206847578,0.1003599555836779,0.8337882274197158
14,0.05239087926516229,0.008426183024676038,0.09179424287326542,0.8310394029388048,0.04726934805726263,0.0071875310690475295,0.08477930802411358,0.8329425492963927,0.06035515847144693,0.011039921033276013,0.105071028515362,0.817817428770087
15,0.05312360400570747,0.00877518844391736,0.09367597580979532,0.8240411970085612,0.047867775396497725,0.007456839846173182,0.08635299558309012,0.8266830928395763,0.061047330360771014,0.011486276489126215,0.10717404764739556,0.8104515984906687
16,0.05235545707524851,0.008779760877426856,0.0937003782138944,0.8239495112365426,0.04703836754403415,0.007347808675385299,0.0857193599800261,0.8292172689376098,0.05965516879467263,0.011281329768811067,0.10621360444317417,0.813833662579679
17,0.051509889608893286,0.008589343928409094,0.09267871345896583,0.8277677242165353,0.046343877526605515,0.007183835479347829,0.08475750986990964,0.8330284446877514,0.05834944509851738,0.010972207376181509,0.1047483048845255,0.8189348505450864
18,0.05562320042728219,0.009638471124117568,0.09817571555184901,0.8067307782042148,0.050242397767938006,0.008137554232384138,0.09020839335884515,0.8108614694023726,0.06374016603088169,0.012544031155760527,0.11200013908813028,0.7929963590630463
19,0.05552028363031034,0.009714582593127432,0.09856258211475302,0.8052046020922727,0.04997066961234996,0.008132181841320696,0.09017861077506514,0.8109863381433379,0.06343339807545355,0.012530013311845747,0.11193754201270344,0.7932276838016741
20,0.055512650266377764,0.009831333961328235,0.09915308346858526,0.802863520629747,0.049926328362505004,0.008193268716568747,0.09051667645560539,0.8095665157380706,0.06331144536959613,0.012626201210145729,0.11236637045907343,0.7916403754703307
21,0.056119039654156586,0.010013300912606368,0.10006648246344212,0.7992147457760177,0.050653487151924706,0.008346717265403966,0.09136037032216959,0.8059999609452888,0.063720049994558,0.012790918278924092,0.11309694195213278,0.7889221876295802
