Time Step,Train MAE,Train MSE,Train RMSE,Train R2,Validation MAE,Validation MSE,Validation RMSE,Validation R2,Test MAE,Test MSE,Test RMSE,Test R2
0,0.029011827745745268,0.002446913674258756,0.049466288260377446,0.9509348575775164,0.026633807846825983,0.002178698099647762,0.04667652621658731,0.9493611779914225,0.03318173792509619,0.003197339844336544,0.05654502493001965,0.9472369782191975
1,0.033758644124384,0.0032687644104235068,0.057173109154772285,0.9344552152661576,0.03094412982987469,0.0028559327536692874,0.053440927702176795,0.9336204768783792,0.037781749907002414,0.004129752011613557,0.06426314660529436,0.9318501610881176
2,0.03486438864800789,0.003398346282762562,0.058295336715405995,0.9318568547906785,0.03248581784331692,0.003056608683766804,0.055286604921687896,0.9289562369048294,0.039291517235114454,0.004399113997589348,0.06632581697641837,0.9274051058156431
3,0.04027647334878984,0.0045133149191000305,0.06718120956859909,0.9094996653617479,0.037860489237399514,0.0040583970196933624,0.06370554936340603,0.9056719959134819,0.04491070127355387,0.005634709503574378,0.07506470211473817,0.9070151079522543
4,0.04058397755640871,0.004740433047642314,0.0688508028104416,0.904945525665334,0.03776803403787233,0.0042415518672348825,0.06512719760004174,0.9014149872660955,0.04546902660244852,0.005997756231448966,0.07744518210611274,0.9010240518422115
5,0.04761384740637353,0.006235807673164752,0.07896713033385949,0.8749604910632467,0.045247536285048795,0.005677428428199128,0.07534871218673302,0.8680413746172757,0.05259426322852263,0.007672283465977034,0.08759157188894964,0.8733907312540196
6,0.048089734172387606,0.006408552161101239,0.0800534331624899,0.8714966437037358,0.045508295502618284,0.005813757220043345,0.07624799813794028,0.8648727287771103,0.053674824746779724,0.008039070400966302,0.0896608632624419,0.8673379536382675
7,0.05002985090843775,0.006834986387748748,0.08267397648443402,0.8629458465835341,0.04774638301696493,0.006281799382061973,0.07925780328814301,0.8539941767879085,0.05528403642936592,0.008387286534990738,0.0915821299981101,0.8615916343983836
8,0.05265565613068005,0.0077012670456627986,0.08775686323965094,0.8455753127658985,0.05008270836035579,0.007025265285774993,0.08381685561851503,0.8367140402060697,0.058784733172094435,0.009628715096180818,0.09812601640839609,0.8411053785099439
9,0.05382958556290608,0.00806382760065828,0.08979881736781548,0.8383053012240793,0.05086064430313867,0.007292743684536651,0.08539756252105005,0.8304971266392074,0.06051751747358613,0.010204259506798798,0.10101613488348679,0.831607651101628
10,0.05609785047547863,0.00873168612809708,0.093443491630488,0.8249134991212751,0.05300089190929414,0.007903529915633044,0.08890179928231512,0.8163008206042689,0.06303730833644396,0.011018211502103087,0.10496766884190144,0.8181756829819928
11,0.056902381518941836,0.008899004601846028,0.09433453557338388,0.8215584534094502,0.05407876338879889,0.008044629574496533,0.08969185902018384,0.8130212870511698,0.06201498044081562,0.010639277386641522,0.10314687288833105,0.8244289153442025
12,0.058557647809669294,0.009435813149206622,0.09713811378242128,0.8107944464558882,0.05538642209231805,0.008503584844476723,0.09221488407234876,0.8023539387429229,0.06507296769147944,0.011683424260573292,0.10808988972412402,0.8071982339234571
