Model,0-6 hours,6-12 hours,12-18 hours,18-24 hours,Mean R²,Std R²
BiHT,0.9375549246465363,0.9073596941132127,0.9015445707056586,0.908872077228779,0.9138328166735468,0.01849967132222812
BiHTC,0.9270433935653832,0.9044359955825212,0.9016779545236485,0.9062154629302649,0.9098432016504544,0.015028737571220923
BiHUni,0.9165830484773482,0.8854168838746976,0.8929561446858686,0.9052378892247607,0.9000484915656687,0.018903043553086245
LSTMHT,0.9316720112974904,0.8957852609049389,0.8934781540824225,0.9056478785780165,0.9066458262157172,0.02079336570935583
LSTMHTC,0.9334334849420408,0.9081759534683224,0.9099526947194169,0.9084199529598824,0.9149955215224157,0.016525906405473415
LSTMHUni,0.9211851031466353,0.884493525439495,0.8930268984591399,0.9076289459679726,0.9015836182533107,0.022035038450942606
StackedHT,0.9287091114688097,0.8981076394727828,0.899945737841362,0.9058422983412971,0.908151196781063,0.017836992502414068
StackedHTC,0.929954477045175,0.9140583662239189,0.9182770374680219,0.9190743160381097,0.9203410491938063,0.01269068457596488
StackedHUni,0.9216440602568934,0.8889429060972142,0.8973097179816246,0.9047969225567757,0.903173401723127,0.018121578257838358
BiQT,0.9506614892141347,0.9018372689532849,0.8972000491758347,0.9078016186329733,0.9143751064940568,0.02558366900006086
BiQTC,0.8966236987357853,0.8455619824706174,0.8705931035698379,0.903973311561546,0.8791880240844466,0.03116343145134388
BiQUni,0.9024695868878704,0.8465692994510992,0.8597619304471987,0.8970252489567297,0.8764565164357245,0.03189748883096406
LSTMQT,0.9318144179348874,0.8692560197251793,0.8878275744882954,0.9033605107663122,0.8980646307286686,0.03127640743204858
LSTMQTC,0.8377281898468044,0.7895948662516451,0.8601133163519911,0.8996278974969193,0.8467660674868401,0.05425437752309765
LSTMQUni,0.8634977943945162,0.7877428254382103,0.8343432619269601,0.8903717678621107,0.8439889124054494,0.05158617313987481
StackedQT,0.8374042794241024,0.821142871723121,0.873991066988904,0.8976360509716468,0.8575435672769437,0.041438697139350555
StackedQTC,0.8658835729198554,0.8445520708708898,0.8814455273574847,0.8981262634096874,0.8725018586394796,0.031910273323411155
StackedQUni,0.8681082390869589,0.8357604706785408,0.8632943205009959,0.8913277643815455,0.8646226986620102,0.03062920696371014
