Model,Median,Q1 (25%),Q3 (75%),IQR,Min,Max,Outliers
StackedHTC,0.0374735313428024,0.03704944720962675,0.039111741507033025,0.0020622942974062725,0.0252261832592437,0.0414011783430481,2
BiHT,0.04040731288090245,0.0388885082035387,0.0416904721945617,0.0028019639910229974,0.0211577774127221,0.0426313135991288,3
LSTMHTC,0.0406543038855515,0.039877750202284526,0.041395120286484975,0.0015173700842004492,0.022370913828688,0.042569620139155,3
BiQT,0.040839249134139,0.037573217287299954,0.04260364675478362,0.005030429467483666,0.0096024971941267,0.043846876571575,12
StackedHT,0.04167912460487505,0.04022461025956943,0.0426764416430735,0.0024518313835040703,0.0234898806570666,0.0431864629601861,3
BiHTC,0.0420297557525953,0.040995089806636124,0.0423079160661007,0.0013128262594645779,0.0258249705099038,0.0428557893633225,3
StackedHUni,0.04216655972479895,0.040330840628178447,0.043654852556897925,0.003324011928719478,0.025224640695548,0.045192645884578,2
LSTMHT,0.04241328167973085,0.0401226421000264,0.04367220632939035,0.0035495642293639565,0.0210843541525364,0.0447843721817843,2
LSTMQT,0.0425226294557105,0.0389645851090653,0.047142608431132105,0.008178023322066803,0.0097091773302567,0.0505536443601391,7
LSTMHUni,0.04313243442676135,0.0400662402932684,0.04530958795943747,0.005243347666169074,0.0211578267624297,0.0456853442672566,2
BiHUni,0.0434607648328357,0.040727481904516374,0.04525035062728247,0.004522868722766096,0.0250736362998659,0.0459164747909807,2
StackedQTC,0.04827876191125825,0.04390763750821945,0.054455245356482745,0.010547607848263293,0.0293605939692824,0.0587432215118489,0
BiQUni,0.0486389181995657,0.042788532481004525,0.053499990668296624,0.010711458187292099,0.019715753916639,0.0556887198468671,3
BiQTC,0.04942539515897065,0.0421012944570356,0.055212022177108876,0.013110727720073274,0.024461462178163,0.0621614456342799,0
StackedQT,0.05024995090932475,0.043221955706929,0.060629800961859354,0.017407845254930353,0.0331817379250961,0.0686657856084065,0
StackedQUni,0.0509462152519969,0.045228187734258796,0.05716200092822963,0.011933813193970834,0.0297002264090447,0.0622380919440329,0
LSTMQTC,0.05495265606801015,0.043049747457699225,0.06725257605876621,0.024202828601066984,0.0261317504318236,0.0737576433341062,0
LSTMQUni,0.055185947722790604,0.044678547003284774,0.06291205329985793,0.01823350629657315,0.0177152595019841,0.066150712830479,0
