Time Step,Train MAE,Train MSE,Train RMSE,Train R2,Validation MAE,Validation MSE,Validation RMSE,Validation R2,Test MAE,Test MSE,Test RMSE,Test R2
0,0.03960359293127052,0.005298795377434883,0.07279282504089866,0.8864453866007436,0.04340020139371546,0.005601448898065742,0.07484282796678478,0.9042439426153082,0.0399854979575009,0.005237365523994388,0.07236964504538065,0.8904633872777135
1,0.04365559134722873,0.006461746517536431,0.08038498937946333,0.8615230301574599,0.04699654474999081,0.00667369683163274,0.08169269754165755,0.8859140003939815,0.04399785471753922,0.006341940784025231,0.07963630317904788,0.867357659581276
2,0.0470546670990221,0.007473141375646447,0.08644733295855024,0.8398485656941282,0.04989734561616851,0.007593768741369947,0.08714223282295415,0.8701854879697654,0.04742201860973025,0.007352799371091077,0.0857484657069214,0.8462079439640425
3,0.05041083714212618,0.008857085329947566,0.09411208918065503,0.8101902736668225,0.05581286631886014,0.009533774181337142,0.09764104762515169,0.8370210972674963,0.05101159536521534,0.008793847084125674,0.09377551431011015,0.8160584310800082
4,0.05117841619523476,0.008946872320348109,0.09458790789708857,0.808266114257566,0.05591013256948493,0.00948235177623647,0.09737736788513268,0.8378980418656208,0.051693527033587594,0.008847300885689744,0.09406009188646237,0.8149391158614112
5,0.05135171695593345,0.009165348279128247,0.09573582547368695,0.8035841155636817,0.05761053558342309,0.010081918931999547,0.1004087592394187,0.8276434132054843,0.052025513936818445,0.00912107262356068,0.0955043068325229,0.8092184598362309
6,0.05018014160006147,0.008712676472483428,0.09334171882113286,0.813284994412334,0.05599799722494741,0.009487566397810825,0.09740413953118637,0.8377976654693979,0.05065300418190572,0.008612404519721987,0.092803041543486,0.8198654089661704
7,0.04967746133004842,0.008576848872450896,0.09261127832208611,0.8161957082287694,0.05503839261167631,0.00930527315847746,0.09646384378863129,0.840907825003817,0.05007202908445592,0.008498579915554156,0.09218774276200799,0.8222540462417108
8,0.04809614592391365,0.007642125131549399,0.08741924920490565,0.83622532058226,0.05121981450445916,0.007945784327248523,0.08913912904694841,0.8641511372618496,0.04852379587590538,0.007527337761193693,0.08676023144963188,0.8425740217996761
9,0.046871833217748,0.007587300857250983,0.08710511384098515,0.8373984479902995,0.050839274104273684,0.007999696114565401,0.0894410203126362,0.8632351284797821,0.04728263145289471,0.0074709665914329,0.08643475337752113,0.8437578639151271
10,0.045406586230820035,0.007247831852027101,0.08513419907432677,0.8446774353719143,0.049193843168426274,0.007678675479035106,0.08762805189569779,0.8687312030340348,0.04551455848841263,0.007141959070202574,0.08451011223636243,0.8506404107799346
11,0.0455981925925514,0.007264254083290084,0.08523059358757326,0.8443380361164483,0.04945332271272722,0.007712791683646744,0.0878225010099732,0.868155323557348,0.04580047623344352,0.007173363133302002,0.08469570906074286,0.8499838166858753
12,0.0444516756373117,0.006686800570191587,0.0817728596185286,0.8567290252393769,0.04618821776850472,0.006799816841431027,0.08246100194292467,0.883767239798317,0.044727899933568724,0.006558491012005331,0.0809845109388538,0.8628426065099903
13,0.044523035780544395,0.006904163042783987,0.08309129342346276,0.8520894598100113,0.047683127225431686,0.007206016912334502,0.08488826133414738,0.8768300594538762,0.04460274626346251,0.006770334669603305,0.08228204342141307,0.8584123307269876
14,0.04326875192654139,0.006307662193002746,0.07942079194394089,0.8648808589851456,0.04455107498073888,0.006315613171818997,0.07947083220791762,0.8920562543110702,0.04346733419363689,0.006163347031493736,0.07850698715078637,0.8711062327497808
15,0.04367570541112066,0.006505817825427489,0.08065865003474512,0.8606421652280102,0.04509162189880201,0.006519171967866859,0.08074138943482989,0.8885851661344084,0.04374694853327161,0.006362704074950505,0.07976655987912795,0.8669370889018511
16,0.04200861445467954,0.005909782509887036,0.07687510982032504,0.8734093159043157,0.042589657027367944,0.005805215298575589,0.076191963477624,0.9007933465534944,0.042019176803481946,0.005741960774308564,0.0757757268147826,0.8799186624050526
17,0.04306906865391486,0.0061990298576598615,0.07873391808909208,0.8672116124514205,0.04396335232115269,0.006108061092980737,0.07815408558086223,0.8956224501573997,0.042993209229414776,0.006058625105982568,0.07783717046490428,0.873296277124024
18,0.042068162976671146,0.00590807899347645,0.07686402925606002,0.8734432075446689,0.04220312537508101,0.005733757190982568,0.0757215767861616,0.9020203202984024,0.04174157928272212,0.00575190228990148,0.07584129673140802,0.8797107559882307
19,0.04212248873921116,0.005963167497950951,0.07722154814526158,0.8722631349474277,0.04325660082218921,0.005927011174309301,0.07698708446427427,0.8987180480473987,0.041881216682453364,0.0058031070461960045,0.07617812708511548,0.8786399134888216
20,0.04102007238797439,0.005575899305757232,0.07467194456927737,0.8805587974158056,0.04168987087041054,0.005479754817941627,0.07402536604395568,0.906360854086381,0.040925062660401704,0.005426722323909479,0.07366629028198365,0.8865112277509146
21,0.04074264869537308,0.005775847683242014,0.0759989979094594,0.8762757081145189,0.04294299196957982,0.005874512993807397,0.0766453716398283,0.8996151474519418,0.04076807045487721,0.005645362880673416,0.07513562990135517,0.8819383716041693
22,0.04260749984187258,0.006164588866973565,0.07851489582858508,0.8679484927304537,0.04528974738768422,0.006352993121270977,0.07970566555315235,0.8914387833698059,0.04266637969851407,0.006015472717639975,0.07755947858024817,0.8741953490601992
23,0.04352711802064205,0.006364053154059039,0.07977501585119892,0.8636757731177647,0.045653929424196465,0.006393376302917285,0.07995859117641634,0.890748707487897,0.04368335160823671,0.006142456532255487,0.07837382555582882,0.8715343190569991
