Time Step,Train MAE,Train MSE,Train RMSE,Train R2,Validation MAE,Validation MSE,Validation RMSE,Validation R2,Test MAE,Test MSE,Test RMSE,Test R2
0,0.02546003940561092,0.001953913172813525,0.044203090082182324,0.9629522646258304,0.023146883972528138,0.0018366443113274331,0.042856088381085754,0.950307324569934,0.023355153298989458,0.0016701006835996273,0.04086686535079033,0.9632570979333355
1,0.03338016165453564,0.0034257534980359637,0.05852993676774274,0.9350815906751326,0.030182644457412026,0.003080267557124205,0.055500158172064745,0.9164568052819512,0.03117076948800839,0.0029691452214295417,0.05448986347413197,0.9346775837145613
2,0.03836879218929819,0.004612486809145852,0.06791529142355093,0.9126288757195465,0.03549026558089419,0.004199104549983215,0.064800498068944,0.8858934849391839,0.03603983832214796,0.0039922919649663475,0.06318458645086115,0.9121679344660064
3,0.04079554859889524,0.005304785383625684,0.07283395762709648,0.8995380429940351,0.035611202013006035,0.004606223559509119,0.06786916501261173,0.8746805003717812,0.036990477466892546,0.004465343252543579,0.06682322390115265,0.9017606115407218
4,0.042358529097288496,0.005800764218415369,0.07616274823307893,0.8901518931310675,0.03687727931485483,0.004823106480483849,0.06944858875804352,0.8687203108703268,0.038320310475700024,0.004753838688979778,0.06894808691312457,0.8954135932610765
5,0.04353022899735938,0.006183297428799934,0.07863394577916037,0.8829049929309903,0.037342744821221234,0.004882446295812524,0.06987450390387415,0.8671069832194944,0.03946619145643219,0.00495235382060539,0.07037296228385863,0.8910461787023628
6,0.04320850696526078,0.006133141332780408,0.07831437500727698,0.8838518006593257,0.0354404804504001,0.0046444561095269005,0.0681502465844908,0.8735952375406958,0.03839565607844417,0.004881494422407374,0.06986769226478984,0.8926051146120715
7,0.04367596122197816,0.006222978057814548,0.07888585461167641,0.8821498108633526,0.035516488264081596,0.004572484198020105,0.06762014639159031,0.8755556922659127,0.038856031980357926,0.0049083388435998175,0.07005953784888834,0.8920145263028778
8,0.044444117814366635,0.006267717341473801,0.0791689165106723,0.8813025048293174,0.03605428804520475,0.0046424575347620975,0.06813558200207948,0.8736513043941139,0.03935216092864355,0.004992930232644366,0.07066066963059695,0.8901534809456315
9,0.044173847964142025,0.006272727262362871,0.07920055089683954,0.8812077407670826,0.036843463219355166,0.004704629515930109,0.06859030190872546,0.8719592374952801,0.040139432400461195,0.005061746760839055,0.07114595393161198,0.888639168990209
10,0.04430257297335524,0.0062586608727244536,0.07911169870963747,0.881474970335941,0.036720777547529594,0.004705009476285374,0.06859307163471667,0.8719488965293348,0.03974615596540584,0.005043734283072154,0.07101925290421009,0.8890328080499619
11,0.04423433602311365,0.006256939798395949,0.07910082046601001,0.8815094304739077,0.03584383378860424,0.004605266199202769,0.06786211166183063,0.8746635003486435,0.03942468937423719,0.004968348136487156,0.07048651031571329,0.8906865382759576
12,0.04402779233698665,0.006240773438763156,0.07899856605510733,0.8818182822489989,0.036458789951527196,0.004606039299706727,0.0678678075357288,0.8746424597167118,0.040015105781858795,0.005026083367251806,0.07089487546538047,0.8894107506362711
13,0.04361939656779736,0.006112500902553476,0.07818248462765479,0.8842503568473475,0.03563367065707108,0.004511225482490989,0.06716565701674472,0.8772229038114443,0.03905235337410059,0.0049525235696634695,0.07037416834082993,0.8910238592362594
14,0.04311938024667665,0.00608057381838155,0.07797803420439342,0.884857537857102,0.034860258576207656,0.004382182484189148,0.0661980549879613,0.8807349207348829,0.03870180237054357,0.0048766440827386764,0.06983297274739689,0.8926882588140207
15,0.04263029076905615,0.005946898864221659,0.07711613880519212,0.8873905355656949,0.03496041403902868,0.0043032612248033375,0.06559924713594918,0.8828813744669723,0.03864445733498915,0.004871519517934267,0.06979627151885885,0.8927963933821073
16,0.04239765974061571,0.0058957709050260244,0.07678392348028346,0.8883594071719318,0.03464521374455332,0.004254166042879357,0.0652239683159447,0.884207780575765,0.03813300409390367,0.004783894881454182,0.06916570596367959,0.8947226404072711
17,0.04178538764302008,0.005797586618287998,0.07614188478287097,0.8902177877889959,0.033875853137710396,0.004146422446518546,0.06439272044663548,0.8871361424891419,0.037372703024193134,0.0047063046517060855,0.06860251199268205,0.8964314113783578
18,0.041704228808878537,0.0057915838683245775,0.07610245638824398,0.8903280923166114,0.03431822310309576,0.004176012603691793,0.06462207520415754,0.886347979728176,0.03767067020742593,0.00475163178374818,0.06893208094746726,0.8954361248538779
19,0.04168074097392125,0.005787936407948267,0.07607848847044917,0.8903955362745901,0.03459197969073587,0.0041899349902725066,0.06472970716967988,0.8859738307944404,0.038327697917803036,0.004850780406169348,0.06964754415030977,0.8932568051539285
20,0.04139812932226749,0.005752621519191103,0.07584603825639875,0.8910731312072642,0.03365837764333652,0.004012237258731883,0.06334222334850494,0.8907194424065115,0.03783107390779373,0.0047629145482799675,0.06901387214379416,0.8951926273733412
21,0.04090485398310654,0.005634372027008014,0.07506245417655896,0.8933364845285806,0.033473069577372436,0.003943733677789916,0.06279915347988312,0.8923557923013425,0.03746954380782264,0.004721420780042525,0.06871259549778719,0.8961073567235924
22,0.0405256254720037,0.005630567985245306,0.07503711072026498,0.8934478272564889,0.03207225073373532,0.0038027017672699224,0.06166605036217191,0.8958875245521304,0.03703102938823409,0.004763086078860878,0.06901511485798512,0.8951912298318392
23,0.04116125757896685,0.005773422225963515,0.07598303906769928,0.8907899905809479,0.032207333926167134,0.0038849709535685676,0.06232953516246185,0.8932823502211934,0.037894107252246234,0.00495730120824977,0.07040810470570678,0.8909177136060027
