Time Step,Train MAE,Train MSE,Train RMSE,Train R2,Validation MAE,Validation MSE,Validation RMSE,Validation R2,Test MAE,Test MSE,Test RMSE,Test R2
0,0.08839375187350285,0.014173721952210833,0.11905344158070708,0.7096701920428199,0.08263780728856895,0.01164059097948662,0.10789157047465117,0.7366914967727886,0.08729768811239698,0.013392451742137792,0.11572576092702001,0.7410236613663994
1,0.1344012740465501,0.02700047069465506,0.16431819952353136,0.4469205017921082,0.128454693115681,0.023401351002229325,0.15297500123297703,0.47070704648017636,0.13653340751127427,0.02711747938525963,0.16467385762548842,0.4756161411378991
2,0.09436264861451349,0.015436373296244187,0.12424320221341764,0.6837982000494468,0.08938662140444865,0.012956568591105435,0.11382692384100272,0.7069562334726227,0.09134026364819281,0.014049652104228759,0.11853122839247368,0.7283150590283016
3,0.097515300327506,0.015801660253565206,0.12570465486037183,0.6763155272290218,0.09226015048488226,0.013202417201489241,0.11490177196844809,0.701396104132664,0.09404274827654518,0.01432963499107095,0.11970645342282492,0.7229005625979181
4,0.10173008473800946,0.016793894936964024,0.12959126103624435,0.6559903870091162,0.09589513617670956,0.013874688035187951,0.11779086566957538,0.6861911089445274,0.09917287502860352,0.015439931708875124,0.12425752173963202,0.701427095269167
5,0.08754957864377085,0.015052481728243866,0.1226885558161146,0.6916618548989427,0.08261249982140947,0.012402347789220971,0.11136582864245644,0.7194915664878945,0.08292254777281192,0.013137375324097464,0.11461838999086256,0.745947516527721
6,0.08790278431503364,0.014505718322737756,0.12043968749020298,0.702861869441831,0.08303608889140565,0.012002139789031087,0.10955427782168567,0.7285432171205146,0.08435027344967438,0.013057141677799365,0.11426785058711555,0.7474911231939638
7,0.11027424830740595,0.018274072932788984,0.13518162942052808,0.6256701151833941,0.10603745924491093,0.016030116914812344,0.12661009799700948,0.637440986077011,0.10698343030100874,0.0170072760496537,0.13041194749582455,0.6710889105992652
8,0.09938225419393537,0.017498026636193514,0.1322801067288408,0.6415668078301492,0.09536253926848978,0.015331438711317959,0.12382018701051117,0.6532432464007858,0.0958852034522655,0.01609924253912304,0.12688279055539028,0.6886399354128534
9,0.10415287405040408,0.01840685166658079,0.13567185288990782,0.6229504867890627,0.09976207433009472,0.016078529208783048,0.1268011404080541,0.6363442422361415,0.10204127992547288,0.017444387091182373,0.13207720125435113,0.6626182329885041
10,0.12795247948065094,0.022665158695225885,0.15054952240118827,0.5357246721543519,0.12220369926060158,0.01958819522997417,0.13995783375707904,0.5569465291395703,0.1293340664579313,0.022449639806871133,0.14983203865285666,0.5658227276177294
11,0.11666837994991323,0.01999416333781813,0.14140071901450194,0.5904410762987926,0.10983536360603194,0.01691555745532719,0.13005982260224405,0.6173719223548862,0.11680427944531308,0.019601247737456556,0.14000445613428367,0.6209293263234028
12,0.12132861107983928,0.02121961640652177,0.14566954522659076,0.5653393186513356,0.11426275064501958,0.01797018323077809,0.13405291205631487,0.5935044828535481,0.12098612771169551,0.020635188407698166,0.14364953326655178,0.6009532443719481
13,0.11576135478029746,0.019114660658030122,0.13825577983589013,0.6084572996888282,0.10895650227457493,0.016307828814032865,0.12770210966946813,0.6311071092363686,0.11654217273768902,0.018957124773369662,0.13768487488961764,0.6334191144154642
14,0.10617316239480752,0.01745286621589467,0.132109296477934,0.6425220032219336,0.09833544573622124,0.01443107010339032,0.1201293890078124,0.6735228275258802,0.10558418226708788,0.01698859259545191,0.13034029536352873,0.671500063442452
15,0.10285636075876563,0.017458072876763334,0.13212900089217103,0.6424913434440194,0.09454498817968723,0.01428801240522065,0.11953247427047033,0.6766267318974631,0.1027385578916571,0.01706953223084013,0.130650419941308,0.6699519106126495
16,0.09242573111928055,0.014389060471669553,0.11995440997174532,0.7054491115144476,0.08452094994614807,0.011561930985353788,0.1075264199411186,0.7381130602191932,0.0914133394609731,0.013784105178592318,0.11740572890022155,0.7334855653904264
17,0.10172421876919208,0.016235049936156435,0.12741683537176882,0.667827733789963,0.09415275992108357,0.013362249323380503,0.11559519593555997,0.6969927242249923,0.10177286136853893,0.01588289508038866,0.12602735845993385,0.6929063742341841
18,0.08291228912395875,0.013874635164380379,0.11779064124275909,0.7162859372818902,0.07530748891827191,0.011251794040409739,0.10607447402843787,0.7445359450635036,0.082203059630562,0.013307552742679264,0.11535836659158825,0.7427002696211729
19,0.09028095101969379,0.013770579539535664,0.11734811263729666,0.7185780470014732,0.08338462910503,0.011391490671096335,0.10673092649788221,0.7410878084851097,0.08810905159933265,0.012981132550335457,0.11393477322720863,0.7490115598414179
20,0.08766468413076171,0.014230733506985923,0.11929263810892071,0.7093268923142084,0.08055976314909327,0.011736543289858433,0.10833532798611187,0.7330328799265712,0.08716641980783862,0.013733304005211121,0.117189180410186,0.7344684266087034
21,0.10825425186102713,0.017047165615779614,0.130564794702782,0.6519423200389702,0.10156185242790129,0.014408980643898556,0.12003741351719703,0.6720808415811197,0.10865713707664164,0.016655230992217426,0.12905514709695784,0.6779733639566372
22,0.1601147402692208,0.0543113947174161,0.23304805237850862,-0.10860916230115736,0.15336790573946796,0.04900613653106989,0.22137329678863685,-0.11552104678250563,0.16631280441093407,0.058252894844634896,0.24135636483141457,-0.12631183412413383
23,0.10388849248725791,0.017752104733644268,0.13323702463521267,0.6376785559501494,0.09785504173545077,0.014743430115677969,0.12142252721664942,0.664387564004169,0.10391851320337843,0.017235434903212197,0.1312837952803475,0.6667551998997019
