Time Step,Train MAE,Train MSE,Train RMSE,Train R2,Validation MAE,Validation MSE,Validation RMSE,Validation R2,Test MAE,Test MSE,Test RMSE,Test R2
0,0.029901837618470917,0.0028884021435204247,0.05374385679796738,0.9379957129481071,0.03026140811606815,0.002764735368805308,0.05258075093420888,0.9527102579891269,0.030115871194854534,0.0028506326369658747,0.05339131611943907,0.9402831720322951
1,0.03613134556404813,0.004290895775855428,0.06550492940119414,0.9078889531266097,0.03629639729607271,0.0040445294751702944,0.06359661528077021,0.9308117967974405,0.036324778103337195,0.004209984632946268,0.06488439437142238,0.911807096671226
2,0.03468604739657775,0.004175472049926615,0.06461789264535493,0.9103668342064268,0.03555541044641328,0.004006877977203417,0.06329990503313111,0.9314476929206622,0.034988579331999226,0.004086396117675644,0.06392492563684095,0.9143964782622741
3,0.03695124150867502,0.004781033851932985,0.06914502044206065,0.897367710630687,0.03806559948331456,0.004690963287916465,0.06849060729703355,0.9197340211650326,0.03730302552074606,0.004691579547274426,0.06849510600965901,0.9017191881873063
4,0.04083622228906955,0.006005948586831228,0.07749805537451393,0.8710733652500406,0.042212037794097594,0.005959708932943948,0.07719915111543615,0.898012207528034,0.041106040603213476,0.005946099211854814,0.07711095390315706,0.8754394037106515
5,0.04270686811250724,0.0062344028253314135,0.07895823468981189,0.8661696679687989,0.04361563862568963,0.006076311032775407,0.07795069616607286,0.8960044552705618,0.043079597720751026,0.006137181089697262,0.07834016268618071,0.8714367899838884
6,0.04534971544298445,0.007340709305322491,0.08567793943205271,0.8424217646828916,0.04660937097990971,0.007185961791480909,0.08477005244472194,0.8769987259127199,0.04578477971446021,0.0072189093710499945,0.08496416521716667,0.8487766326255195
7,0.04550130365755492,0.007699776600276436,0.08774837092662426,0.834714481551941,0.04760383153500513,0.007727343836477441,0.08790531176486117,0.8677175013853451,0.04583531054771046,0.0075661232512617025,0.08698346539004814,0.8415031942593343
8,0.04410832422344055,0.007264309225197886,0.08523091707354724,0.8440628867765934,0.04681110860065925,0.007448515301323631,0.08630478145110868,0.8724780181045918,0.044516678737964006,0.007173387890403811,0.08469585521384038,0.8497303270864391
9,0.04660398098565378,0.008048099442750034,0.08971120020794524,0.827238493746592,0.049706048578565434,0.00829349486021154,0.09106862720065313,0.8579985860175361,0.04711046222881213,0.007924898734353593,0.08902190030747262,0.8339875224722759
