Time Step,Train MAE,Train MSE,Train RMSE,Train R2,Validation MAE,Validation MSE,Validation RMSE,Validation R2,Test MAE,Test MSE,Test RMSE,Test R2
0,0.0428834546683969,0.005974357899918111,0.07729397065695429,0.9034774782822315,0.03733050312643131,0.006191446660389603,0.07868574623392476,0.38869459708863063,0.039122501555822954,0.005211969318553303,0.07219397009829355,0.8887863452053126
1,0.0491239283790807,0.007711112976542785,0.087812943103752,0.8754182320150723,0.03570573167009097,0.0047110160378669745,0.06863684169501809,0.5348632209699153,0.04293692608724141,0.006323949045160093,0.07952326103197789,0.8650587676815276
2,0.04679128697862149,0.006970658428021723,0.08349046908493042,0.8873811142926179,0.03510993020188569,0.005477398731509666,0.07400945028514713,0.4591953024657017,0.04479965548388966,0.005943371792711469,0.07709326684420287,0.8731795022257394
3,0.04884161954152454,0.006807255807321351,0.08250609557675936,0.8900210687897376,0.04254271985787125,0.004616098624221773,0.06794187680820844,0.544234783219316,0.045512797721464604,0.005569714374168472,0.07463051905332344,0.8811524587920281
4,0.05078498601211151,0.009035029069941088,0.09505276992250719,0.8540288673304938,0.032337017927030365,0.005010659866318306,0.07078601462378219,0.505278230364534,0.04420712922407749,0.0072400897683158345,0.08508871704471653,0.8455090312363007
5,0.052321637893360286,0.008826920507257169,0.09395169241294789,0.8573910969789029,0.0449611978399867,0.0062397908416439146,0.07899234672829966,0.38392138965891043,0.04750409581399699,0.007312714790589688,0.08551441276527418,0.8439580956647614
6,0.05642637491215173,0.010795056861755173,0.10389926304721883,0.8255936239779689,0.04260804511298636,0.008457196598429863,0.09196301755830907,0.16498836900607194,0.05140897603288379,0.008504342669905997,0.0922189929998479,0.8185286730214628
7,0.05509370267199146,0.01019197060578551,0.100955290132739,0.8353371658304444,0.03343032177798713,0.005790052450928283,0.0760923941726654,0.428325795159164,0.04785899068176645,0.008069325356844188,0.08982942366977642,0.8278092461162866
8,0.056920123507659584,0.010824160483314556,0.10403922569547774,0.8251234219929037,0.03875400082556726,0.007344077253397549,0.08569759187630391,0.2748909341136264,0.050112381561390903,0.008449757827947418,0.09192256430250093,0.8196889896565391
9,0.06136582223088011,0.012833723305547816,0.11328602431698191,0.7926566574632982,0.042326582227847485,0.007057645704253371,0.08400979528753401,0.30317142543664966,0.055761215593301834,0.009844808484782752,0.09922100828344142,0.7899173829910741
10,0.06159232895509104,0.011967322606658616,0.10939525861141614,0.806654342515941,0.046981770846551626,0.007595691640520498,0.08715326523154768,0.25004807545144536,0.05580653866447131,0.00947185936692454,0.09732347798411511,0.7978741903348798
11,0.06332921791513696,0.013193326149108849,0.1148622050506991,0.7868468610192625,0.03954451387109391,0.006758537193615867,0.0822103229139496,0.3327037679326368,0.05493683638203822,0.010672426481902038,0.1033074367211869,0.7722534431540863
12,0.06574135891242981,0.014204975371283216,0.11918462724396639,0.7705024905022324,0.04606109785549136,0.010206681351657127,0.10102812158828416,-0.007743766286310905,0.059822140457076955,0.0112477767904545,0.10605553634985068,0.7599754562187073
13,0.07127889247799672,0.014933652987558296,0.12220332641773012,0.7587297014864007,0.034573523922038364,0.005944093904630605,0.07709795006762894,0.4131209893966288,0.06023682987356768,0.01133096938203857,0.10644702617752443,0.7582011584465679
14,0.06374824810964212,0.013616374007517959,0.11668921975708793,0.7800113866233458,0.04463213980870055,0.009532340886117922,0.0976337077351768,0.05885569454033612,0.05518428729444764,0.010850669147042575,0.10416654523906692,0.7684525098120822
15,0.0690389032590868,0.015349850848686102,0.12389451500646065,0.7520040267200373,0.045430767829003564,0.008351568168974675,0.09138691464851341,0.17544930405239412,0.06016345471848896,0.011626341476289971,0.10782551403211565,0.7519033454410113
16,0.07175959909589606,0.01652815567299782,0.12856187488131082,0.732965381931084,0.04770454679334328,0.010736094106979996,0.10361512489487235,-0.0599633762140972,0.06246078420741917,0.013018175026669725,0.11409721743613963,0.7222079563227073
17,0.06752958146478219,0.015366619686611866,0.12396217038521012,0.7517294350685513,0.03958794152761741,0.006464494380380514,0.080402079453087,0.3617639416709386,0.05797211920501633,0.011427026927431532,0.10689727277826845,0.7561674266774727
18,0.07074332684957188,0.016365212389125423,0.12792658984404073,0.7355927347367133,0.0428787787252152,0.009206988405435913,0.0959530531324351,0.09096971847731727,0.06109722996667385,0.012383638581002759,0.11128179806690203,0.7357624432564085
19,0.07233678687847807,0.016352903252730894,0.12787847063806673,0.7357881187060298,0.041980748427459476,0.008759981090314475,0.09359477063551401,0.13503234337814818,0.06171718239572732,0.012873115478030358,0.11345975267922259,0.7253266255306585
20,0.07501195699589648,0.017527954407194575,0.13239318112045867,0.7167986397187907,0.042501384635154515,0.008677893861633049,0.09315521381883597,0.14300050612719295,0.06290327840290759,0.012472232894111758,0.11167915156425463,0.7338887023183203
21,0.07397550426637095,0.017398657073370898,0.13190396913425653,0.7188829740584683,0.03474596711136024,0.005827820207141377,0.07634016116790282,0.4243139743360791,0.061092266398863934,0.013070074324437067,0.11432442575599086,0.7211410909904292
22,0.07579999731880954,0.01774156011797079,0.13319744786583107,0.7133374050135509,0.04701753588068559,0.010357356590981324,0.10177109899662735,-0.0235210084473223,0.06472394778855743,0.013436931876465934,0.11591778067434665,0.7133205744673171
23,0.07511136508244132,0.018866512356017037,0.13735542346779409,0.6951551215520615,0.04401741531062613,0.00966925492679066,0.09833236967952445,0.043979297063097444,0.06347350692669744,0.013828547593281369,0.11759484509654906,0.7049701307101064
24,0.07900470526146043,0.01853001176081882,0.1361249858064963,0.7005866522801569,0.046301179235734395,0.0101655376689802,0.1008242910660928,-0.005761865551214385,0.0672725381322585,0.01435761649697926,0.1198232719340415,0.6936848818435267
25,0.07619489665742467,0.018492717212076095,0.13598793039117882,0.7011836316066439,0.048895939106526703,0.011020138111342366,0.10497684559626645,-0.09122153478175044,0.0650199775505399,0.01416768035281779,0.11902806539979464,0.6977364683522427
26,0.07532537282782215,0.017857013703503063,0.13363013770666804,0.7114503242677981,0.045977366853933714,0.010045277782017692,0.10022613322890239,0.0043120363169112386,0.06482307007559197,0.014127177957590628,0.11885780562331877,0.6985973244553425
