Time Step,Train MAE,Train MSE,Train RMSE,Train R2,Validation MAE,Validation MSE,Validation RMSE,Validation R2,Test MAE,Test MSE,Test RMSE,Test R2
0,0.03963395197625555,0.004182957875778182,0.0646757904921013,0.9143176816320836,0.03763318301923603,0.0037658753803948906,0.06136672861082698,0.9148164374558485,0.03810890857824203,0.003884004821553041,0.062321784486269655,0.9248931138757649
1,0.05498285190839225,0.00814459054211976,0.09024738523702369,0.8331656473293979,0.0525531390066338,0.0074168178634121526,0.08612094903919808,0.8322460343306662,0.05284413046709538,0.0075553060682036115,0.08692126361370739,0.8538993800034956
2,0.06611455168331727,0.011884239466917128,0.10901485892719913,0.7565608295183617,0.06355908884096491,0.010917023416887101,0.10448456066274625,0.7530854223587893,0.06329130934697379,0.010952276624652797,0.10465312525028957,0.7882105118190862
3,0.0731416647463017,0.014608887568366887,0.12086723116033926,0.7007485293027712,0.07098444726456306,0.013588957337189157,0.1165716832562229,0.6926535845873747,0.07000660146885761,0.013377616171696487,0.11566164520573138,0.7413102345406604
4,0.0779670767094944,0.016533718923031376,0.12858350952992137,0.6613198862228739,0.07615515804516412,0.015472385528595513,0.12438804415455496,0.6500554007126165,0.07485444215915606,0.015092108143420175,0.12284994156864779,0.7081532061244387
5,0.07757846979555813,0.016394695735915253,0.12804177340194586,0.6641676659056746,0.07601716721052784,0.01535890972854179,0.12393106845558054,0.6526219243624587,0.07416852152120834,0.014866414884188753,0.12192790855332815,0.7125110968908948
6,0.08011676712402982,0.017273234067945863,0.1314276761871177,0.6461715052333641,0.07903279627290928,0.016272347451591635,0.127563111641225,0.6319623694815459,0.07666757040178811,0.01563969845650984,0.1250587800056831,0.697547687825657
7,0.0770885700406203,0.01622030302009596,0.12735895343514708,0.6677399623206878,0.07616367221757654,0.015256404020191747,0.12351681675056132,0.6549403334382233,0.07343588214222282,0.014582032792320475,0.12075608801348475,0.7179917420404882
8,0.07521940086235365,0.015523187740431023,0.12459208538438958,0.6820198157119178,0.07435628205416908,0.014570106421156572,0.12070669584226291,0.6704625771053289,0.07133491800178472,0.013889283436372427,0.11785280410907678,0.7313806424551406
9,0.07197443653814535,0.014473743950862785,0.12030687407984128,0.7035170267101796,0.07092185681936718,0.013490146945527113,0.11614709185135508,0.6948869174463022,0.06770585742369503,0.012855526299531498,0.11338221332965545,0.7513687264489199
10,0.07027167473871715,0.013834990908354583,0.11762223815399273,0.7166026928780844,0.06913268870745036,0.012843178847608544,0.11332774968033445,0.7095079511660697,0.0659389396925139,0.012261803953465756,0.11073303009249659,0.7628560350722217
11,0.06810586356206055,0.01298051903895182,0.11393208081550964,0.7341080335869519,0.06686201547261415,0.011971847686084638,0.10941593890327239,0.7291981019198363,0.06375699547709357,0.011474141112912454,0.10711741741151368,0.7781003301529388
12,0.06660053424400783,0.01247353109401967,0.11168496359859581,0.7444933301205207,0.06520023459508209,0.011441058116538052,0.10696288195695763,0.7411969162440546,0.062170654319175074,0.011004107189586845,0.10490046324772281,0.7872007182183136
13,0.06528693431648779,0.0119557751515652,0.10934246728314301,0.7550991581328197,0.06377006975792383,0.010903822138764483,0.10442136820959819,0.7533489886967606,0.06092178896346978,0.010540137550864965,0.10266517204419892,0.7961814882915865
14,0.06172368611225609,0.010887672541478977,0.10434401056830707,0.7769934564582379,0.06012548980396148,0.009836286591360873,0.09917805498879716,0.7774715935141807,0.05745940220466987,0.009550872526785848,0.09772856556189621,0.815319544483142
15,0.05953258983061534,0.010289445839392257,0.10143690570690855,0.7892914077794453,0.05785002562428987,0.009215213237736187,0.09599590219241749,0.7914367977550415,0.05535151118946182,0.00897655067728374,0.09474466041568642,0.8264338260556771
16,0.05668718769135879,0.009580646301778104,0.09788077595615037,0.8038796288325607,0.054737568032669465,0.00847344416680225,0.092051312683754,0.8080697450055341,0.05217740673076145,0.008283995117897144,0.09101645520397476,0.8398296990229224
17,0.05426758758652967,0.009006681820165887,0.09490353955551863,0.8157215454832454,0.0522039659617359,0.007882025986863434,0.08878077487194755,0.8212642823773408,0.04979091464402094,0.0077381271197762775,0.0879666250334539,0.8503843599154004
18,0.052981024926574215,0.008722070484150376,0.09339202580600967,0.8216476308706944,0.050725186673844715,0.0075791376225367675,0.0870582427030133,0.8279210210370602,0.048498935647684066,0.00748365292292134,0.08650810900095632,0.8553045840546708
19,0.05249160618993056,0.008561606147455565,0.09252894761886987,0.8250310441979858,0.04999984017707681,0.007401593601476423,0.08603251479223668,0.8317724277364995,0.047922848474483595,0.0073430537601320975,0.0856916201278287,0.8580230498294589
20,0.04983349878476694,0.007848829110753512,0.08859361777664072,0.8396819427334886,0.04688305612733638,0.006599521789583342,0.08123744081138537,0.8498829440224254,0.04529656243741277,0.006659981956645888,0.08160871250452299,0.8712301506589534
21,0.04832201413559544,0.007481929526757135,0.08649814753367344,0.8472389433288251,0.04518464648379929,0.00620250520756037,0.07875598521738122,0.8588435686036419,0.0438605177218594,0.006305844053279293,0.0794093448737571,0.8780773590687246
22,0.04713439728655979,0.007285747213869526,0.08535658857914558,0.8512826607099484,0.04399262748377313,0.005974996493734746,0.07729810148855369,0.8639918423484164,0.04286179449344186,0.006119476839359804,0.07822708507518226,0.8816807439149217
23,0.049955703288218,0.008044727991413257,0.08969240765757856,0.8358066546716041,0.046981325063965754,0.006718740687279362,0.081967924746692,0.847057780232274,0.045811201997969044,0.006829532579834825,0.08264098607733832,0.8679519123174917
