Time Step,Train MAE,Train MSE,Train RMSE,Train R2,Validation MAE,Validation MSE,Validation RMSE,Validation R2,Test MAE,Test MSE,Test RMSE,Test R2
0,0.025903957014249617,0.001948060769251174,0.044136841405465047,0.968526870827381,0.014998158995063083,0.0008626250081777176,0.029370478514619363,0.9148297066727342,0.021516622834892463,0.0014537459301099515,0.038128020275251,0.9689797870730162
1,0.03082546587140169,0.0027812435980184066,0.052737497077680946,0.9550658581073932,0.01884461589634806,0.0014018038287927676,0.03744067078449273,0.8615945026474734,0.026332131913552576,0.0022319839924003658,0.0472438778298349,0.9523736405371392
2,0.03278654971738723,0.0031728526887551535,0.056328080819029805,0.9487389694946385,0.02294076034138421,0.0018494324866324399,0.04300502862029556,0.8173983992091636,0.028105394499200843,0.0024410666439003037,0.04940715174851009,0.94791217886466
3,0.037070592936557165,0.003898703014477944,0.06243959492563948,0.9370120349851764,0.026218081210675304,0.0023529486207737,0.048507201741326,0.7676843097342767,0.032169260237183174,0.003110740570421649,0.05577401339711577,0.9336224726630274
4,0.041558090291020824,0.005180300692146014,0.07197430577745098,0.9163063722598392,0.02908408836058321,0.0028986266050642236,0.05383889490938892,0.7138074182186529,0.03702777857874862,0.004361070370839951,0.06603840072896944,0.9069423159107524
5,0.04682581810273208,0.006534365362223428,0.08083542145757285,0.8944299231561452,0.03308060305096203,0.0038857986965642505,0.06233617486311019,0.6163401111031765,0.04139281704578265,0.005428262484880646,0.07367674317503893,0.8841693625926293
6,0.04972855763949132,0.007218680570024061,0.0849628187504632,0.883374035542241,0.03536712007949515,0.004117482086936285,0.06416760932851001,0.593465116603856,0.043260897018138476,0.005766302870868344,0.07593617629870722,0.8769547895289368
7,0.05496329265650903,0.008941631701667204,0.09456020146799182,0.8555378076482009,0.03989956215893744,0.005067626007564214,0.07118726014930069,0.4996537435786874,0.04821814067011337,0.007170187626734131,0.08467696042451059,0.8469958815221356
8,0.05654659371336612,0.009300511555873763,0.09643915986710877,0.8497396969387309,0.04001382886023382,0.005084929766204809,0.07130869348266597,0.49794527676505174,0.04996710721003176,0.007676774957802378,0.08761720697330164,0.8361838200566546
9,0.05916938724646948,0.009885259469539259,0.09942464216450195,0.8402924317862747,0.04493093166504856,0.005708527526556164,0.07555479817030923,0.43637506530138326,0.0524146364691657,0.008035771188844982,0.08964246309001657,0.8285212105804886
10,0.06318690862242125,0.01155803849054158,0.10750831823883016,0.813266791192172,0.044691483342973064,0.005886121930260424,0.07672106575289751,0.41884048502214266,0.05583167910196662,0.009437157417068257,0.09714503289962002,0.7986147165019124
11,0.0652284850358285,0.01236547196332404,0.11120014371988932,0.8002217837888548,0.046528259716433866,0.00645154086673777,0.08032148446547642,0.3630146897069201,0.05757331840704669,0.010064895817476514,0.1003239543552611,0.7852179753751192
12,0.06974444109537475,0.013897006745797942,0.11788556631665278,0.7754780734022354,0.04751512007295026,0.006449651365499861,0.08030972148812285,0.36320183472297574,0.061347117355984464,0.011262385226581738,0.10612438563582706,0.7596637161048945
13,0.07029965025586944,0.014312315144978032,0.11963408855747609,0.7687681272407711,0.04938504926836579,0.006840106728802111,0.08270493775345043,0.3246548365776003,0.06195691128358557,0.011541494488541281,0.10743134779263118,0.7537086278294646
14,0.07142506490061201,0.014489648483656678,0.12037295578183946,0.7659026054605405,0.05210858965211791,0.007045968581962643,0.08394026794073654,0.304339481079715,0.06380009863021815,0.011874876225673315,0.10897190567147716,0.7465964772231349
15,0.07416596682639848,0.016143271563841044,0.12705617483554682,0.73918532610757,0.04792817640119276,0.006504724662079508,0.08065187327074001,0.3577882454471195,0.0654883699508253,0.013209887958887348,0.11493427669275753,0.7181117536946084
16,0.07578917615346219,0.016840299770105024,0.1297701805890129,0.7279222735890163,0.051192700634304256,0.007042514129625395,0.08391968856964017,0.30469992350197206,0.06742083205892722,0.013754236959080245,0.11727845905826119,0.7065012886785496
17,0.07659128307308724,0.017357413718378876,0.1317475378076527,0.7195652005778927,0.04895314263248375,0.006593546562792423,0.08120065617217895,0.349022689010666,0.0680063921953609,0.014241898272614515,0.11933942463668289,0.6961030435245678
18,0.07626056002403678,0.017165950936761414,0.13101889534247116,0.7226554697298737,0.04912210356243255,0.006255596127428232,0.07909232660270041,0.38236847290359377,0.0671861930816051,0.013825660290924755,0.11758256797214779,0.704993110728767
19,0.07792406890801386,0.01793203868521639,0.13391056226159456,0.7102742183920114,0.04754917757373581,0.005957601083549444,0.07718549788366623,0.41174162418876004,0.06852609209774277,0.01448262108344231,0.12034376212933644,0.6909846407469205
20,0.07822921850936661,0.017931369400353322,0.13390806323875096,0.7102806130189097,0.0483496954607693,0.005922998484589148,0.07696101925383492,0.4150646707095038,0.06912216257609531,0.014536366975540706,0.12056685687012292,0.689847719147026
21,0.08045921709547015,0.0189733233951161,0.1377436873149405,0.693440463676629,0.04868772783208695,0.005812573990859476,0.07624023865951284,0.4258200320636295,0.07110096387106198,0.015308733377400408,0.12372846631798362,0.6733777802656722
22,0.07895741736996456,0.018385239924791918,0.13559218238818901,0.7029370274516691,0.04736789968367603,0.00566311554841378,0.07525367465056959,0.44036707762738125,0.06949834543271775,0.014824193308434883,0.1217546438885798,0.6837230953674153
23,0.08008231338580833,0.019060317244063874,0.13805910779106126,0.6920236245151747,0.04533850967822188,0.005251686258890987,0.07246851908857381,0.48075411943912105,0.07035139556150015,0.015377370035962202,0.12400552421550502,0.6719262495841241
24,0.0820242204874268,0.01988715785808409,0.14102183468556947,0.6786574888466872,0.04267340781174365,0.004963329148209014,0.0704508988459978,0.5089362367245839,0.07252302963404994,0.016457377848280042,0.12828631200669868,0.6488871505098184
25,0.08505033401020233,0.021280097762091027,0.14587699531485773,0.6561434720814754,0.043111503602924234,0.0051070409757010835,0.07146356397284621,0.4942973458779105,0.07548841914157989,0.017758420508251594,0.13326072380207002,0.6211290228437072
