Time Step,Train MAE,Train MSE,Train RMSE,Train R2,Validation MAE,Validation MSE,Validation RMSE,Validation R2,Test MAE,Test MSE,Test RMSE,Test R2
0,0.018552422027639928,0.0009578691258828412,0.030949460833475616,0.9845245388618125,0.017890931425074263,0.0014110491153012951,0.037563933703770896,0.8606816798607919,0.01762057148962523,0.0009432438830287093,0.03071227577091462,0.9798729437602536
1,0.021639593163201323,0.0013033780028556205,0.036102326834369286,0.9789424514408791,0.020719156278107005,0.0019707972082604777,0.044393661802789794,0.8054155922621705,0.02082297232140351,0.0013070427458493185,0.036153046148966736,0.9721101549746339
2,0.025174938298473684,0.0017255476396932036,0.04153971159858002,0.9721218225761777,0.022900925342764267,0.0019071919389676755,0.043671408712883025,0.8116955857604713,0.02455705100965474,0.0016751641550968289,0.04092876928392581,0.9642551131895355
3,0.03016658742753921,0.0025580994876960184,0.05057765798943263,0.958671004065435,0.02701315771520824,0.00299099850333193,0.05469002197231164,0.7046871845179437,0.028067555867237238,0.0023696255675130892,0.0486787999802079,0.9494365144488185
4,0.03250502547405202,0.0029226366534793233,0.05406141557043548,0.9527814930768592,0.029770021962588836,0.0030245965009368324,0.05499633170436763,0.7013699246610062,0.030730497117339266,0.002666243814494977,0.0516356835385664,0.9431069775316657
5,0.037217309470981196,0.0040605052863977005,0.06372209417774734,0.9343979359360429,0.03237222514940618,0.004433096020942473,0.06658149908902977,0.5623033358965417,0.03484848943030272,0.0038659004027110457,0.06217636530636899,0.9175077275561635
6,0.038997445617607825,0.004263290201251521,0.06529387567951163,0.9311217158508214,0.03620803517150757,0.004223020830813143,0.06498477383828571,0.5830448694649841,0.03552510827648807,0.003757016775582714,0.06129450852713246,0.9198302742246913
7,0.042297846034543146,0.005080865861177378,0.0712801926286495,0.9179128546287318,0.03775158463584801,0.005423972190083098,0.07364762175442666,0.46447031091273805,0.03910741933145025,0.0046825649351408,0.06842926957918519,0.9000790833638331
8,0.045604302170937576,0.005906406911177251,0.07685315160211227,0.9045753035040136,0.04091710498587485,0.0058920986772994285,0.07676000701732269,0.41825037774072926,0.04245289025094436,0.0054002715000142365,0.0734865395838873,0.8847625659665683
9,0.0486975914965855,0.0067901497586332895,0.08240236500631089,0.890297436390015,0.042728082010702384,0.006227576328394957,0.07891499431917205,0.385127375650971,0.04495882491090544,0.006094150259085485,0.07806503864781907,0.8699542975515226
10,0.05089019166775755,0.007450104399084888,0.08631398727370257,0.8796351213458151,0.04417806018587825,0.006495483610724445,0.08059456315859305,0.358675856619874,0.04739442138017674,0.00679109928998789,0.082408126358921,0.8550805718992934
11,0.05360619604996692,0.008325542921343364,0.09124441309660206,0.8654914168461556,0.04584707614617864,0.007348112516473489,0.0857211322631327,0.274492740872755,0.0498086768334812,0.0076088489520638024,0.08722871632704336,0.8376293195055737
12,0.054316307531761934,0.008385346147675199,0.09157153568481419,0.864525209874101,0.048562218355809254,0.007049137861872362,0.08395914400392826,0.30401229417813214,0.051105658536050626,0.007668560421823957,0.0875703170133805,0.8363549747653558
13,0.05675015461925069,0.009312458455992465,0.09650108007681812,0.8495465487617336,0.04635023837765277,0.00662990201285322,0.08142421023782312,0.34540900663271057,0.05305853430743327,0.008461356511500751,0.09198563209273909,0.8194376726765648
14,0.05920303298886891,0.010021521727739758,0.10010755080282285,0.8380904734555431,0.047803502486038894,0.007788930665853902,0.0882549186496362,0.23098556489266298,0.055350600721407635,0.009238673912917595,0.0961180207501049,0.802851628022986
15,0.05985885531880015,0.010197465319904828,0.10098250006760986,0.8352472371277189,0.048319026346705665,0.007256012632072141,0.08518223190356156,0.28361355082919326,0.05670450717556602,0.00948607488239203,0.09739648290565749,0.7975748907756564
16,0.06100882774547004,0.010512491887037413,0.10253044370838064,0.8301565333999269,0.04917720991625331,0.007200560652002778,0.08485611735168407,0.289096155149279,0.058321885548240956,0.009830806004174936,0.09915042109933238,0.7902225400027233
17,0.060722898352274124,0.0105418545070284,0.102673533624924,0.829680682722607,0.045716994020363964,0.006167087519476275,0.07853080618124504,0.39112676132155566,0.05691023663976728,0.009722683410577821,0.09860366834239902,0.7925351072805862
18,0.062343718716027244,0.011096254504160718,0.10533876069216268,0.8207215257371092,0.050151132880269914,0.006439429211860793,0.08024605418250041,0.3642181469624586,0.05986040219208736,0.010361371093096455,0.1017908202791217,0.7789128482517627
19,0.06296160446749409,0.011294290217508727,0.10627459817618097,0.8175195180862009,0.04805077746618656,0.0065308312219911025,0.08081355840446022,0.35514041415862496,0.05891691254140768,0.010354870947802177,0.10175888633334279,0.7790583522472565
20,0.06338582346467168,0.011295227105279618,0.10627900594792754,0.8175015973576827,0.04397939389613304,0.006152011920806292,0.07843476219640302,0.3924480770915645,0.059099873733666215,0.010435107697949083,0.10215237490116949,0.7773534158217721
21,0.06407597089308631,0.011519335248046679,0.10732816614499047,0.8138775164026532,0.04748061293279044,0.005883309177464883,0.07670273252932312,0.4188326410659521,0.0596403071401777,0.010484998996847317,0.10239628409687197,0.7762954281169921
22,0.06470055871651637,0.011642110053613056,0.10789861006339728,0.8118904168012785,0.048266269422454613,0.007531348356130287,0.08678334146672555,0.255747043493054,0.060675985777471825,0.010879571296525241,0.10430518345952536,0.7678823351934682
23,0.0638958878614304,0.011510379355022577,0.10728643602535494,0.8140154296057563,0.040937145377421755,0.005297767309211706,0.07278576309424602,0.4761979836816883,0.059964759334901495,0.010765686418192246,0.10375782581662092,0.770315788021122
24,0.06595368013101807,0.012066611930143741,0.10984813120915504,0.8050241564724789,0.04276304582563415,0.006031819975494679,0.07766479238042602,0.40322148136496905,0.0623819465150851,0.01147053418646739,0.10710057976718608,0.7552798519597692
