Time Step,Train MAE,Train MSE,Train RMSE,Train R2,Validation MAE,Validation MSE,Validation RMSE,Validation R2,Test MAE,Test MSE,Test RMSE,Test R2
0,0.030191158932081054,0.0024142839074794693,0.04913536310519613,0.9503142350898517,0.029616078544741,0.002262625681618663,0.04756706509359877,0.9492552505880328,0.031150148368726694,0.0024817551589515607,0.04981721749507454,0.9519143644899359
1,0.03212474278106787,0.002668308915840427,0.05165567651130345,0.9450895642230157,0.030629016186518757,0.002389319969296827,0.048880670712428104,0.9463990848934385,0.03214929349439936,0.002606446804825021,0.0510533721200179,0.9494986905078944
2,0.032989410568937026,0.0031802834173226104,0.05639400160764095,0.9345581659824469,0.03128112747932877,0.0028513151592313647,0.053397707434227594,0.9360146448690481,0.033925438701090695,0.003257484067915925,0.05707437312766497,0.9368849795476162
3,0.041494458525394615,0.004553429912386877,0.06747910722873324,0.9063096502389978,0.039783472355704015,0.004145991483632896,0.0643893739962806,0.9069283300728921,0.042167345157194815,0.004531429781482722,0.06731589545926521,0.9122025842242671
4,0.042481987434970246,0.005084505324417189,0.07130571733330497,0.8953915449091044,0.039445255408979606,0.00443780422967464,0.0666168464404811,0.9003381627772428,0.0431926332212129,0.005036575568577729,0.0709688351924824,0.902416266611808
5,0.044693248952081994,0.005767595467425362,0.07594468689398463,0.8813492041014052,0.04262229932024527,0.005240056731305452,0.07238823613892972,0.8822704856698016,0.04548420223662189,0.005676479137985575,0.07534241261059786,0.8900193433546583
6,0.04779707801506341,0.006486264906330286,0.08053735100144706,0.8665789353112374,0.04528746353768045,0.005773765246922935,0.07598529625475534,0.8702200155048594,0.048426815423973216,0.006361004056646896,0.07975590295800616,0.8767582665910825
7,0.05248981296734646,0.007626189239805519,0.08732805528468797,0.8431490191869653,0.049746557819556975,0.006805485281735714,0.08249536521366345,0.846955336730006,0.05253440251884077,0.0073329450372371955,0.085632616666999,0.8579290532782677
8,0.05782357397859732,0.00902952372006764,0.09502380607020348,0.8143086358417643,0.05532788178166207,0.008263321586433647,0.09090281396323024,0.8140777095183521,0.058308685541061826,0.008826130369039767,0.09394748729497648,0.8290016473969751
9,0.053495681138510595,0.008274046090390534,0.09096178368078835,0.8298668857803306,0.04999168477307594,0.007201761901608745,0.08486319521211033,0.8378793300390805,0.0528780046372339,0.007823838088422071,0.0884524623084178,0.8484219891300155
10,0.05954297473571837,0.009739373403150738,0.09868826375588304,0.7997635819016058,0.05626634940594367,0.008598252243597893,0.09272676120515529,0.8063418019261964,0.058961267559829174,0.009237399733821938,0.09611139232069181,0.821037941239837
11,0.06262459183775516,0.010975631725322624,0.10476464921586205,0.774377932402566,0.059552800380123706,0.009860396595383689,0.09929952968359763,0.7777996037101849,0.062327019212201004,0.010495613825298206,0.10244810308296687,0.7966640843779045
12,0.05777494449975508,0.009833661489551577,0.0991648198180765,0.7978815938171077,0.05445712473211498,0.008634975934152068,0.09292457120779234,0.805313626452281,0.05741235203632607,0.009405330483199248,0.09698108312036553,0.8177886001415149
13,0.06354812283678028,0.011478031709661385,0.1071355763024654,0.7641172584752111,0.05940145635293701,0.010007966406405408,0.10003982410223144,0.7742436542480455,0.062393003124080866,0.010798614461924753,0.10391638206714451,0.7907983825224987
14,0.06219716467749689,0.01117394616908565,0.10570688799262634,0.7703993767705188,0.05779656596882882,0.009564610071590655,0.09779882448982019,0.7841414181927256,0.06096260664848128,0.010437645717586387,0.10216479686069163,0.797793327251828
15,0.06397509646935608,0.011751125754212109,0.10840260953598907,0.7585736262676673,0.0597370359736893,0.010245130512800616,0.10121823211655406,0.7686776163989651,0.06280930027416054,0.010980421955097516,0.10478750858331119,0.7872799516337994
16,0.06677459152791253,0.012614540898909342,0.11231447323880098,0.7408704740052843,0.06298682204864293,0.011093105231728358,0.10532381132359557,0.7494204828566903,0.06539826341866156,0.01176346450650514,0.10845950629845749,0.7721118740740036
17,0.06781288370335353,0.012990776658230913,0.113977088303882,0.7331782236704714,0.06398706748609564,0.011493230476707927,0.10720648523623898,0.7402736727223067,0.06652053412450674,0.012166210551907567,0.11030054647148203,0.7643108840918372
18,0.0658581450000962,0.012421860757770761,0.11145340173261092,0.7448967430616962,0.062024616371825145,0.011037983836594274,0.10506180960079774,0.750462971914978,0.06439820637127788,0.011595183631318772,0.10768093439099966,0.7753738806349895
19,0.0682493685667481,0.013108230992605292,0.11449118303435113,0.7308348713434012,0.06362369959471824,0.011325195315874897,0.10641990093903911,0.7438748858735507,0.06664898450344241,0.01216619206579919,0.11030046267264336,0.7643125635113891
20,0.07137487570310375,0.014091589903507012,0.11870800269361376,0.710676951221388,0.06717955810124443,0.012338614951130667,0.11107931828711709,0.7208598941075186,0.06977826055495226,0.013128374225067985,0.114579117753053,0.7456730359480883
