Time Step,Train MAE,Train MSE,Train RMSE,Train R2,Validation MAE,Validation MSE,Validation RMSE,Validation R2,Test MAE,Test MSE,Test RMSE,Test R2
0,0.016275493826122842,0.0008626534578992291,0.02937096283575377,0.9814817293534135,0.017641052263875117,0.0009374600535804626,0.030617969455541343,0.9839651040097642,0.016610879858914948,0.0008650915244536097,0.029412438260940043,0.9818775239319852
1,0.01812176758689114,0.0010810578377227326,0.03287944399959848,0.9767933377166512,0.020203022598503283,0.0012109478352978938,0.03479867576931475,0.9792847832088645,0.01833477689313108,0.0010646296587673162,0.032628663147106045,0.9776975954159475
2,0.02145207387856865,0.0014477558264099813,0.03804938667587142,0.9689216125828221,0.02372763355847108,0.0015769853067905883,0.03971127430328304,0.9730198968808718,0.021760867082999718,0.0014355078248406133,0.0378880960836067,0.9699283863458846
3,0.022096980465017235,0.0015845918314140854,0.03980693195178555,0.9659842844852086,0.023640383553699088,0.0016571964128038314,0.040708677364952935,0.9716440986570635,0.02236042245648828,0.0015764404004686443,0.03970441285888313,0.9669761877058239
4,0.0242339377492038,0.0019003243721090336,0.04359271007988645,0.9592067060369872,0.025764054066539283,0.0019819076293856055,0.044518621153238846,0.9660838496848305,0.02442396550528546,0.001882769555447033,0.04339089254033654,0.9605592018992299
5,0.026066071286162062,0.0022726030899844966,0.04767182700489354,0.9512153393630622,0.02773383332303325,0.0023809146374117202,0.04879461688969102,0.9592508491852451,0.026278873693922584,0.002266259279806051,0.04760524424688997,0.9525258317324576
6,0.029094826114028548,0.0028311895708518706,0.05320892378964144,0.9392246937091538,0.03151625668156745,0.003018723279777314,0.0549429092766056,0.9483288639288712,0.02924624592648919,0.002799165827327662,0.05290714344327864,0.9413624329534291
7,0.030461605206486338,0.0031509136263214044,0.056132999441695655,0.9323616230251551,0.0325030540811533,0.003328938312761323,0.057696952369785726,0.9430127237683703,0.0304891311081984,0.0031273886814571117,0.05592306037277566,0.9344867774605963
8,0.032889354105622076,0.00374334999691107,0.06118292242865708,0.9196445010520241,0.03467499775141012,0.003915329964054373,0.06257259754920179,0.932967763830469,0.03299777936511154,0.003755417759653395,0.06128146342617313,0.9213307007764324
9,0.03343706969547315,0.003845187787068435,0.06200957818811893,0.9174587194595896,0.03579945465285647,0.004057399360797732,0.06369771864672809,0.9305291127520965,0.0336184117348143,0.003835187117442214,0.06192888758440776,0.9196596781244644
10,0.03544907204826128,0.004352016216017262,0.0659698129148269,0.9065794115383414,0.03828025613573394,0.0046619054625549865,0.06827814776745915,0.9201721262653759,0.03565044919664497,0.004340189933420329,0.06588011789166993,0.9090807708791793
11,0.037440169299748575,0.004828423265206615,0.06948685678030497,0.8963531860110245,0.04009959026046291,0.005134567176124673,0.07165589421760553,0.9120723692056751,0.03742719625772216,0.0048117470177721925,0.06936675729607225,0.8992024919896776
12,0.03879567264559832,0.005204960348060948,0.07214541113654387,0.888270754240369,0.041378768625504554,0.005503473885927661,0.07418540210801355,0.9057494741402725,0.03882099271250168,0.005190086044772843,0.07204225180248632,0.8912769649484883
13,0.04077406637678995,0.005734309567242325,0.07572522411483723,0.8769080263189938,0.044135168692265705,0.0061742528055291415,0.07857641379911112,0.8942567608873423,0.04094334285113781,0.005731005350258071,0.07570340382214046,0.8799456713816812
14,0.041096422148618854,0.0058550019822131505,0.07651798469780259,0.874317428430258,0.04457977747754222,0.006311190408214091,0.07944300100206494,0.8919072906198816,0.0414039213002634,0.005863258230375965,0.07657191541535294,0.8771752096982564
15,0.04183236103739639,0.006055488258234818,0.07781701779324891,0.8700139209375798,0.04582018145912345,0.006600701833090703,0.08124470341561167,0.8869457267010187,0.04218474377179849,0.006098393824651445,0.07809221359810109,0.8722495388639513
